"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Rodney Rogers","BOS","SF",79,235,8,30,27,1,626,222,95,78,15.4,20.8,0.9,0.8,16,0,"394",108,52,42,17.3,17.3,0.8,0.7,103.4,101.0
"Mark Blount","BOS","C",84,230,1,26,44,0,415,76,0,59,9.3,12.7,0.0,0.7,4,0,"39",4,0,7,11.1,7.0,0.1,0.1,103.4,101.0
"Kenny Anderson","BOS","PG",72,168,10,31,76,76,2430,716,33,210,13.6,16.7,1.7,3.5,16,16,"560",197,0,58,12.0,20.1,0.2,0.7,103.4,101.0
"Erick Strickland","BOS","PG",75,210,5,28,79,4,1643,488,247,145,12.9,18.0,1.8,2.0,12,0,"118",39,20,15,8.4,20.6,-0.1,0.2,103.4,101.0
"Walter McCarty","BOS","PF",82,230,5,27,56,0,718,180,99,83,11.5,13.3,0.9,0.9,14,0,"194",38,18,19,8.9,11.1,0.2,0.2,103.4,101.0
"Joe Johnson","BOS","SG",79,240,0,20,48,33,1003,296,88,59,12.0,15.2,0.8,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.4,101.0
"Tony Battie","BOS","C",83,230,4,25,74,73,1819,390,2,219,14.5,12.5,3.2,3.0,16,16,"443",86,0,51,13.9,11.2,0.5,0.9,103.4,101.0
"Antoine Walker","BOS","PF",80,224,5,25,81,81,3406,1689,645,237,17.1,27.8,1.5,5.2,16,16,"703",319,109,56,16.0,26.7,0.3,1.2,103.4,101.0
"Randy Brown","BOS","PG",74,190,10,33,1,0,6,1,0,1,8.6,7.6,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.4,101.0
"Paul Pierce","BOS","SG",79,235,3,24,82,82,3302,1598,520,237,22.3,29.3,7.3,5.6,16,16,"672",303,104,52,21.1,30.1,1.0,1.3,103.4,101.0
"Eric Williams","BOS","SF",80,220,6,29,74,30,1747,385,86,179,8.8,15.0,0.0,2.2,16,16,"487",94,30,53,12.9,11.1,0.8,0.8,103.4,101.0
