"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Dennis Rodman","CHI","PF",79,210,11,36,80,66,2856,360,23,238,12.4,8.7,1.9,5.9,21,9,"722",105,4,88,10.8,10.3,0.2,1.2,107.7,99.8
"Dickey Simpkins","CHI","PF",81,248,3,25,21,0,237,41,1,35,11.9,13.9,0.4,0.3,13,0,"74",16,0,10,6.6,14.8,-0.1,0.1,107.7,99.8
"Steve Kerr","CHI","PG",75,175,9,32,50,0,1119,302,130,71,12.9,14.0,2.5,1.2,21,0,"415",76,41,26,11.3,10.4,1.0,0.3,107.7,99.8
"Toni Kukoc","CHI","SF",82,192,4,29,74,52,2235,841,174,149,17.3,21.9,3.7,3.3,21,17,"637",218,61,57,18.5,20.4,1.5,0.9,107.7,99.8
"Joe Kleine","CHI","C",83,255,12,36,46,1,397,106,0,63,5.5,16.0,-0.4,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,99.8
"David Vaughn","CHI","PF",81,240,2,24,3,0,6,1,0,1,23.3,20.6,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,99.8
"Bill Wennington","CHI","C",84,245,10,34,48,8,467,172,0,77,9.4,18.9,0.3,0.6,16,0,"119",38,0,23,10.4,19.8,0.0,0.2,107.7,99.8
"Scottie Pippen","CHI","SF",80,210,10,32,44,44,1652,704,192,116,20.4,24.4,3.7,3.0,21,21,"836",294,79,66,19.5,23.0,1.4,1.5,107.7,99.8
"Luc Longley","CHI","C",86,265,6,29,58,58,1703,609,0,206,13.5,21.2,0.6,2.8,18,16,"456",120,0,73,12.3,18.1,0.2,0.7,107.7,99.8
"Scott Burrell","CHI","SF",79,218,4,27,80,3,1096,375,144,131,15.7,18.5,1.5,2.2,21,0,"261",73,20,33,13.5,16.2,0.2,0.5,107.7,99.8
"Ron Harper","CHI","PG",78,185,11,34,82,82,2284,665,84,181,14.7,16.7,3.4,3.7,21,21,"563",122,19,42,13.3,13.3,0.6,0.9,107.7,99.8
"Rusty LaRue","CHI","PG",74,210,0,24,14,0,140,49,16,12,7.3,18.7,0.0,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,99.8
"Michael Jordan","CHI","SG",78,195,12,34,82,82,3181,1893,126,151,25.2,33.7,10.4,5.4,21,21,"872",526,43,47,28.1,36.6,3.6,1.2,107.7,99.8
"Randy Brown","CHI","PG",74,190,6,29,71,6,1147,302,5,118,10.1,15.6,-0.1,1.9,14,0,"71",12,0,6,2.5,14.5,-0.2,0.1,107.7,99.8
"Jud Buechler","CHI","SF",78,220,7,29,74,0,608,176,65,47,14.1,14.7,1.0,0.9,16,0,"64",11,5,7,10.8,8.9,0.1,0.1,107.7,99.8
"Keith Booth","CHI","SF",78,226,0,23,6,0,17,6,1,3,13.8,30.7,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,99.8
"Jason Caffey","CHI","PF",80,255,2,24,51,8,710,199,1,92,14.4,18.4,0.9,1.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,99.8
"Reggie Hanson","BOS","SF",80,195,0,29,8,0,26,6,0,8,6.9,15.0,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Andrew DeClercq","BOS","C",82,230,2,24,81,49,1523,340,1,277,13.2,14.1,1.4,2.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Chauncey Billups","BOS","PG",75,202,0,21,51,44,1296,454,189,118,15.4,21.7,1.6,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Bruce Bowen","BOS","SF",79,185,1,26,61,9,1305,298,59,174,11.0,13.4,0.8,1.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Zan Tabak","BOS","C",84,245,3,27,18,5,232,55,0,46,9.2,14.5,-0.1,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Dontae' Jones","BOS","SF",80,220,0,22,15,0,91,57,23,12,3.8,32.3,-0.4,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"John Thomas","BOS","PF",81,265,0,22,33,2,368,80,0,65,10.2,15.0,0.0,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Dee Brown","BOS","SG",73,160,7,29,41,10,811,255,113,76,11.4,16.0,0.7,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Greg Minor","BOS","SG",78,210,3,26,69,16,1126,321,31,100,11.8,15.4,0.8,0.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Pervis Ellison","BOS","PF",81,210,8,30,33,8,447,70,0,90,13.1,10.9,0.4,0.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Dana Barros","BOS","PG",71,163,8,30,80,15,1686,609,246,124,18.6,20.0,4.4,1.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Tyus Edney","BOS","PG",70,152,2,24,52,7,623,216,10,69,17.8,23.0,0.8,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Ron Mercer","BOS","SG",79,210,0,21,80,62,2662,1145,28,213,14.1,22.3,2.2,1.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Kenny Anderson","BOS","PG",72,168,6,27,16,16,386,147,27,36,20.4,22.1,1.0,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
"Travis Knight","BOS","C",84,235,1,23,74,21,1503,438,55,253,13.6,16.4,1.1,1.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.6,105.4
