"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Jarron Collins","UTA","C",83,255,6,29,70,9,702,82,1,106,6.1,8.7,0.5,0.5,5,0,"20",3,0,2,7.1,6.8,0.0,0.0,113.8,106.5
"Kyle Korver","UTA","SG",79,210,4,26,50,0,1075,348,188,125,14.2,18.2,2.3,0.9,12,0,"259",73,38,28,11.4,16.1,0.4,0.1,113.8,106.5
"Carlos Boozer","UTA","PF",81,258,5,26,81,81,2827,1297,1,293,21.9,26.6,5.9,4.3,12,12,"441",183,0,47,13.8,25.1,-0.1,0.4,113.8,106.5
"Andrei Kirilenko","UTA","SF",81,220,6,26,72,72,2217,544,116,165,17.2,16.1,4.3,2.8,12,12,"387",114,22,46,13.7,17.3,0.3,0.4,113.8,106.5
"Jason Hart","UTA","PG",75,185,6,29,57,0,606,180,31,75,8.0,16.8,-0.2,0.7,2,0,"6",2,1,0,8.0,15.1,0.0,0.0,113.8,106.5
"Ronnie Price","UTA","PG",74,190,2,24,61,3,588,204,75,83,12.3,19.1,0.5,0.6,12,0,"68",31,14,6,15.7,28.5,0.0,0.1,113.8,106.5
"Deron Williams","UTA","PG",75,210,2,23,82,82,3059,1117,210,200,20.8,23.1,8.9,2.3,12,12,"513",183,56,35,21.6,22.0,1.9,0.0,113.8,106.5
"Morris Almond","UTA","SG",78,225,0,22,9,0,39,15,4,5,2.0,22.5,-0.1,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",113.8,106.5
"Mehmet Okur","UTA","C",83,249,5,28,72,72,2390,841,294,236,15.2,19.6,4.0,2.7,12,12,"462",156,51,37,16.3,19.1,0.7,0.4,113.8,106.5
"C.J. Miles","UTA","SG",78,210,2,20,60,13,689,236,77,98,14.2,18.6,1.1,0.8,7,0,"26",14,8,4,8.2,27.9,-0.1,0.0,113.8,106.5
