"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Charles Smith","SF",82,230,4,27,81,68,"2172",764,2,254,0,0,0,0,27,15,15,"388",138,0,52,0,0,0,0,"106.1","99.7"
"Anthony Mason","PF",79,250,3,26,81,0,"2482",629,0,240,0,0,0,0,26,15,0,"510",122,0,50,0,0,0,0,"106.1","99.7"
"Bo Kimble","SG",76,190,2,26,9,0,"55",33,8,10,0,0,0,0,"106.1","99.7"
"Patrick Ewing","C",84,240,7,30,81,81,"3003",1550,7,286,0,0,0,0,30,15,15,"604",322,1,60,0,0,0,0,"106.1","99.7"
"Eric Anderson","PF",81,220,0,22,16,0,"44",18,0,14,0,0,0,0,22,2,0,"6",2,0,2,0,0,0,0,"106.1","99.7"
"John Starks","SG",75,180,3,27,80,51,"2477",1199,336,234,0,0,0,0,27,15,15,"575",200,75,57,0,0,0,0,"106.1","99.7"
"Herb Williams","C",82,242,11,34,55,0,"571",175,0,78,0,0,0,0,34,7,0,"69",14,0,13,0,0,0,0,"106.1","99.7"
"Hubert Davis","SG",77,183,0,22,50,2,"815",251,19,71,0,0,0,0,22,7,0,"96",25,2,8,0,0,0,0,"106.1","99.7"
"Rolando Blackman","SG",78,190,11,33,60,33,"1434",539,73,129,0,0,0,0,33,15,0,"214",64,15,22,0,0,0,0,"106.1","99.7"
"Greg Anthony","PG",72,176,1,25,70,35,"1699",419,30,141,0,0,0,0,25,15,0,"240",60,14,26,0,0,0,0,"106.1","99.7"
"Doc Rivers","PG",76,185,9,31,77,45,"1886",494,123,215,0,0,0,0,31,15,15,"458",106,31,44,0,0,0,0,"106.1","99.7"
"Tony Campbell","SF",79,215,8,30,58,13,"1062",396,5,150,0,0,0,0,30,2,0,"33",10,1,7,0,0,0,0,"106.1","99.7"
"Charles Oakley","PF",80,225,7,29,82,82,"2230",431,1,289,0,0,0,0,29,15,15,"507",131,0,51,0,0,0,0,"106.1","99.7"
"Kevin Willis","PF",84,220,7,30,80,80,"2878",1218,29,264,0,0,0,0,30,3,3,"103",45,1,13,0,0,0,0,"109.3","110.2"
"Randy Breuer","C",87,230,9,32,12,0,"107",31,0,12,0,0,0,0,32,1,0,"17",4,0,2,0,0,0,0,"109.3","110.2"
"Travis Mays","PG",74,190,2,24,49,9,"787",309,84,59,0,0,0,0,24,1,0,"20",4,1,3,0,0,0,0,"109.3","110.2"
"Greg Foster","PF",83,240,2,24,33,0,"205",95,4,41,0,0,0,0,24,1,0,"5",3,0,0,0,0,0,0,"109.3","110.2"
"Mookie Blaylock","PG",72,180,3,25,80,78,"2820",964,315,156,0,0,0,0,25,3,3,"99",25,12,9,0,0,0,0,"109.3","110.2"
"Duane Ferrell","SF",79,209,4,27,82,15,"1736",696,36,160,0,0,0,0,27,3,0,"54",23,3,6,0,0,0,0,"109.3","110.2"
"Steve Henson","PG",71,177,2,24,53,2,"719",182,80,85,0,0,0,0,24,3,0,"47",9,5,4,0,0,0,0,"109.3","110.2"
"Alex Stivrins","PF",80,220,1,30,5,0,"15",9,1,0,0,0,0,0,"109.3","110.2"
"Andre Spencer","SF",78,210,0,28,3,0,"15",3,0,3,0,0,0,0,"109.3","110.2"
"Paul Graham","SG",78,200,1,25,80,11,"1508",560,141,185,0,0,0,0,25,2,0,"27",8,2,2,0,0,0,0,"109.3","110.2"
"Morlon Wiley","PG",76,185,4,26,25,2,"354",81,51,49,0,0,0,0,"109.3","110.2"
"Jon Koncak","C",84,250,7,29,78,65,"1975",267,8,264,0,0,0,0,29,3,3,"89",10,0,9,0,0,0,0,"109.3","110.2"
"Dominique Wilkins","SF",79,200,10,33,71,70,"2647",1584,316,116,0,0,0,0,33,3,3,"113",75,12,8,0,0,0,0,"109.3","110.2"
"Jeff Sanders","PF",80,225,3,27,9,0,"120",25,0,16,0,0,0,0,"109.3","110.2"
"Blair Rasmussen","C",84,250,7,30,22,6,"283",80,6,61,0,0,0,0,"109.3","110.2"
"Adam Keefe","PF",81,230,0,22,82,6,"1549",376,1,195,0,0,0,0,22,3,0,"53",13,0,7,0,0,0,0,"109.3","110.2"
"Stacey Augmon","SG",80,205,1,24,73,66,"2112",792,4,141,0,0,0,0,24,3,3,"93",31,0,7,0,0,0,0,"109.3","110.2"
"Micheal Williams","PG",74,175,4,26,76,76,"2661",791,107,268,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Chris Smith","SG",75,190,0,22,80,6,"1266",289,14,96,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Marlon Maxey","PF",80,250,0,23,43,3,"520",169,1,75,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Lance Blanks","SG",76,190,2,26,61,2,"642",150,43,61,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Christian Laettner","PF",83,235,0,23,81,81,"2823",1061,40,290,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Chuck Person","SF",80,220,6,28,78,75,"2985",1248,332,198,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Gerald Glass","SF",77,221,2,25,4,0,"71",27,2,6,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Gundars Vetra","SF",78,195,0,25,13,0,"89",40,3,12,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Mark Randall","PF",80,235,1,25,2,0,"8",1,1,1,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Thurl Bailey","PF",83,215,9,31,70,3,"1276",446,0,88,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Doug West","SG",78,200,3,25,80,80,"3104",1249,23,279,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Luc Longley","C",86,265,1,24,55,25,"1045",292,0,169,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Brad Sellers","PF",84,210,5,30,54,4,"533",130,1,40,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Bob McCann","SF",78,244,2,28,79,7,"1536",410,2,202,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
"Felton Spencer","C",84,265,2,25,71,48,"1296",226,0,243,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.6","111.8"
