"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Paul Mokeski","C",84,250,8,31,60,0,"848",210,4,194,0,0,0,0,31,4,0,"40",14,0,4,0,0,0,0,"108.2","107.6"
"Ricky Pierce","SG",76,205,5,28,37,0,"965",486,14,94,0,0,0,0,28,5,0,"105",53,5,9,0,0,0,0,"108.2","107.6"
"Dudley Bradley","SG",78,195,7,30,2,0,"5",1,1,2,0,0,0,0,"108.2","107.6"
"John Stroeder","PF",82,260,0,29,41,0,"271",79,2,48,0,0,0,0,29,1,0,"1",1,1,0,0,0,0,0,"108.2","107.6"
"Jerry Sichting","PG",73,168,7,31,24,1,"370",82,8,30,0,0,0,0,"115.4","109.4"
"Darren Daye","SF",80,220,4,27,47,8,"655",217,1,68,0,0,0,0,"115.4","109.4"
"Conner Henry","SG",79,195,1,24,10,0,"81",28,8,11,0,0,0,0,"115.4","109.4"
"Artis Gilmore","C",86,240,16,38,47,4,"521",101,0,94,0,0,0,0,38,14,0,"86",8,0,14,0,0,0,0,"115.4","109.4"
"Larry Bird","SF",81,220,8,31,76,75,"2965",1672,237,157,0,0,0,0,31,17,17,"763",338,32,45,0,0,0,0,"115.4","109.4"
"Dennis Johnson","PG",76,185,11,33,77,74,"2670",803,46,204,0,0,0,0,33,17,17,"702",210,16,51,0,0,0,0,"115.4","109.4"
"Fred Roberts","PF",82,218,4,27,74,14,"1032",330,6,118,0,0,0,0,27,15,0,"100",21,0,20,0,0,0,0,"115.4","109.4"
"Dirk Minniefield","PG",75,180,2,27,61,6,"868",173,11,107,0,0,0,0,27,11,0,"50",14,4,13,0,0,0,0,"115.4","109.4"
"Mark Acres","C",83,220,0,25,79,5,"1151",203,0,198,0,0,0,0,25,17,0,"158",26,0,33,0,0,0,0,"115.4","109.4"
"Danny Ainge","SG",76,175,6,28,81,81,"3018",982,357,203,0,0,0,0,28,17,17,"670",184,58,64,0,0,0,0,"115.4","109.4"
"Greg Kite","C",83,250,4,26,13,0,"86",23,0,16,0,0,0,0,"115.4","109.4"
"Robert Parish","C",84,230,11,34,74,73,"2312",750,1,198,0,0,0,0,34,17,17,"626",188,0,42,0,0,0,0,"115.4","109.4"
"Kevin McHale","PF",82,210,7,30,64,63,"2390",911,0,179,0,0,0,0,30,17,17,"716",262,1,65,0,0,0,0,"115.4","109.4"
"Reggie Lewis","SG",79,195,0,22,49,0,"405",193,4,54,0,0,0,0,22,12,0,"70",34,1,13,0,0,0,0,"115.4","109.4"
"Jim Paxson","SG",78,200,8,30,28,2,"538",191,13,44,0,0,0,0,30,15,0,"188",59,2,18,0,0,0,0,"115.4","109.4"
"Brad Lohaus","PF",83,230,0,23,70,4,"718",246,13,123,0,0,0,0,23,9,0,"26",11,2,4,0,0,0,0,"115.4","109.4"
"Mark Eaton","C",88,275,5,31,82,82,"2731",541,0,320,0,0,0,0,31,11,11,"461",65,0,48,0,0,0,0,"106.8","103.1"
"Thurl Bailey","SF",83,215,4,26,82,10,"2804",1286,3,186,0,0,0,0,26,11,0,"449",203,1,32,0,0,0,0,"106.8","103.1"
"Bob Hansen","SG",78,190,4,27,81,51,"1796",611,97,193,0,0,0,0,27,11,11,"408",135,36,42,0,0,0,0,"106.8","103.1"
"Carey Scurry","SF",79,188,2,25,29,0,"447",116,8,78,0,0,0,0,"106.8","103.1"
"Darryl Dawkins","C",83,251,12,31,4,0,"26",7,0,10,0,0,0,0,"106.8","103.1"
"Kelly Tripucka","SF",78,220,6,28,49,21,"976",303,74,68,0,0,0,0,28,2,0,"9",3,0,1,0,0,0,0,"106.8","103.1"
"John Stockton","PG",73,170,3,25,82,79,"2842",791,67,247,0,0,0,0,25,11,11,"478",134,14,36,0,0,0,0,"106.8","103.1"
"Marc Iavaroni","PF",80,210,5,31,81,71,"1238",308,2,162,0,0,0,0,31,11,11,"137",29,0,26,0,0,0,0,"106.8","103.1"
"Bart Kofoed","SG",76,210,0,23,36,0,"225",48,7,42,0,0,0,0,23,10,0,"109",23,5,18,0,0,0,0,"106.8","103.1"
"Eddie Hughes","PG",70,165,0,27,11,0,"42",13,6,5,0,0,0,0,27,7,0,"16",7,3,1,0,0,0,0,"106.8","103.1"
"Darrell Griffith","SG",76,190,6,29,52,11,"1052",585,102,102,0,0,0,0,"106.8","103.1"
"Rickey Green","PG",72,170,9,33,81,3,"1116",370,19,83,0,0,0,0,33,7,0,"38",8,0,2,0,0,0,0,"106.8","103.1"
"Melvin Turpin","C",83,240,3,27,79,0,"1011",389,3,157,0,0,0,0,27,7,0,"31",9,0,5,0,0,0,0,"106.8","103.1"
"Scott Roth","SF",80,212,0,24,26,0,"201",74,11,37,0,0,0,0,24,6,0,"10",3,0,0,0,0,0,0,"106.8","103.1"
"Karl Malone","PF",81,250,2,24,82,82,"3198",1650,5,296,0,0,0,0,24,11,11,"494",255,1,35,0,0,0,0,"106.8","103.1"
"Steve Alford","PG",74,183,0,23,28,0,"197",55,8,23,0,0,0,0,23,4,0,"12",8,2,0,0,0,0,0,"112.2","107.7"
"Brad Davis","PG",75,180,10,32,75,12,"1480",415,74,149,0,0,0,0,32,17,0,"295",70,5,34,0,0,0,0,"112.2","107.7"
"James Donaldson","C",86,275,7,30,81,81,"2523",380,0,175,0,0,0,0,30,17,17,"499",104,0,41,0,0,0,0,"112.2","107.7"
"Roy Tarpley","PF",83,230,1,23,81,9,"2307",888,5,313,0,0,0,0,23,17,0,"563",241,3,69,0,0,0,0,"112.2","107.7"
"Rolando Blackman","SG",78,190,6,28,71,69,"2580",1050,5,112,0,0,0,0,28,17,17,"672",261,3,28,0,0,0,0,"112.2","107.7"
"Derek Harper","PG",76,185,4,26,82,82,"3032",1167,192,164,0,0,0,0,26,17,17,"602",202,36,44,0,0,0,0,"112.2","107.7"
"Uwe Blab","C",85,252,2,25,73,1,"658",132,0,108,0,0,0,0,25,3,0,"8",2,0,1,0,0,0,0,"112.2","107.7"
"Sam Perkins","PF",81,235,3,26,75,75,"2499",876,30,227,0,0,0,0,26,17,17,"572",195,7,51,0,0,0,0,"112.2","107.7"
"Bill Wennington","C",84,245,2,24,30,0,"125",49,2,33,0,0,0,0,24,6,0,"14",4,0,5,0,0,0,0,"112.2","107.7"
"Mark Aguirre","SF",78,232,6,28,77,77,"2610",1571,172,223,0,0,0,0,28,17,17,"558",294,34,49,0,0,0,0,"112.2","107.7"
"Detlef Schrempf","SF",81,214,2,25,82,4,"1587",539,32,189,0,0,0,0,25,15,0,"274",86,3,29,0,0,0,0,"112.2","107.7"
"Jim Farmer","SG",76,190,0,23,30,0,"157",69,6,18,0,0,0,0,23,3,0,"11",6,0,2,0,0,0,0,"112.2","107.7"
"Larry Drew","PG",73,170,7,29,74,51,"2024",720,90,114,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Claude Gregory","PF",80,205,1,29,23,2,"313",134,1,37,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Norris Coleman","SF",80,210,0,26,29,11,"431",191,2,51,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Eric White","SF",80,200,0,22,17,4,"352",124,1,32,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Earl Cureton","PF",81,210,7,30,69,11,"1128",310,3,135,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Tod Murphy","PF",81,220,0,24,1,0,"19",1,0,2,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Darnell Valentine","PG",73,183,6,28,79,31,"1636",533,33,135,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Lancaster Gordon","SG",75,185,3,25,8,0,"65",31,0,8,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Ken Norman","SF",80,215,0,23,66,28,"1435",500,10,123,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Michael Phelps","SG",76,180,2,26,2,0,"23",7,0,1,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Martin Nessley","C",86,260,0,22,35,0,"295",49,0,78,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Greg Kite","C",83,250,4,26,40,19,"977",182,1,137,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Quintin Dailey","SG",75,180,5,27,67,7,"1282",755,12,128,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Benoit Benjamin","C",84,250,2,23,66,59,"2171",693,8,203,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Steve Burtt","SG",74,185,1,25,19,0,"312",138,4,56,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Kenny Fields","SF",77,220,3,25,7,0,"154",36,0,17,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Reggie Williams","SF",79,190,0,23,35,14,"857",427,58,108,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Michael Cage","PF",81,224,3,26,72,70,"2660",766,1,194,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Mike Woodson","SG",77,195,7,29,80,77,"2534",1263,78,210,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Joe Wolf","C",83,230,0,23,42,26,"1137",334,15,139,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"97.4","107.6"
"Jay Vincent","SF",79,220,6,28,73,8,"1755",958,4,198,0,0,0,0,28,8,0,"200",104,1,25,0,0,0,0,"110.1","106.3"
"Brad Wright","PF",83,225,1,25,2,0,"7",5,0,3,0,0,0,0,"110.1","106.3"
"T.R. Dunn","SG",76,192,10,32,82,1,"1534",156,1,152,0,0,0,0,32,11,3,"185",20,0,20,0,0,0,0,"110.1","106.3"
"Otis Smith","SG",77,210,1,24,15,6,"191",93,0,23,0,0,0,0,"110.1","106.3"
"Danny Schayes","PF",83,235,6,28,81,74,"2166",668,2,323,0,0,0,0,28,11,11,"314",88,0,46,0,0,0,0,"110.1","106.3"
"Fat Lever","SG",75,170,5,27,82,82,"3061",1360,57,214,0,0,0,0,27,7,7,"273",98,7,15,0,0,0,0,"110.1","106.3"
"Calvin Natt","PF",78,220,8,31,27,7,"533",208,1,43,0,0,0,0,"110.1","106.3"
"Michael Brooks","SF",79,220,5,29,16,0,"133",49,0,21,0,0,0,0,29,4,0,"11",3,2,1,0,0,0,0,"110.1","106.3"
"Michael Adams","PG",70,162,2,25,82,75,"2778",927,379,138,0,0,0,0,25,11,11,"406",130,54,19,0,0,0,0,"110.1","106.3"
"Bill Hanzlik","SF",79,185,7,30,77,0,"1334",287,16,185,0,0,0,0,30,11,0,"212",56,8,40,0,0,0,0,"110.1","106.3"
"Andre Moore","PF",81,215,0,23,7,0,"34",24,0,4,0,0,0,0,"110.1","106.3"
"Mike Evans","PG",73,170,8,32,56,0,"656",307,91,78,0,0,0,0,32,11,1,"219",114,44,19,0,0,0,0,"110.1","106.3"
"Wayne Cooper","C",82,220,9,31,45,32,"865",270,1,145,0,0,0,0,31,9,0,"96",23,0,19,0,0,0,0,"110.1","106.3"
"Maurice Martin","SF",78,200,1,23,26,0,"136",61,4,21,0,0,0,0,23,3,0,"9",5,1,1,0,0,0,0,"110.1","106.3"
"Alex English","SF",79,190,11,34,80,80,"2818",1704,6,193,0,0,0,0,34,11,11,"438",255,3,34,0,0,0,0,"110.1","106.3"
"Blair Rasmussen","C",84,250,2,25,79,45,"1779",884,0,241,0,0,0,0,25,11,11,"277",127,0,33,0,0,0,0,"110.1","106.3"
"Billy Donovan","PG",71,171,0,22,44,0,"364",109,7,33,0,0,0,0,"105.9","106.4"
"Ray Tolbert","PF",81,225,3,29,11,0,"177",41,0,25,0,0,0,0,"105.9","106.4"
"Rick Carlisle","SG",77,210,3,28,26,0,"204",67,17,39,0,0,0,0,28,2,0,"8",4,2,1,0,0,0,0,"105.9","106.4"
"Tony White","PG",74,170,0,22,12,0,"117",46,1,14,0,0,0,0,"105.9","106.4"
"Kenny Walker","SF",80,210,1,23,82,61,"2139",728,1,290,0,0,0,0,23,4,2,"80",24,0,11,0,0,0,0,"105.9","106.4"
"Gerald Henderson","PG",74,175,8,32,6,2,"69",14,4,14,0,0,0,0,"105.9","106.4"
"Patrick Ewing","C",84,240,2,25,82,82,"2546",1183,3,332,0,0,0,0,25,4,4,"153",57,1,17,0,0,0,0,"105.9","106.4"
"Carey Scurry","SF",79,188,2,25,4,0,"8",2,0,3,0,0,0,0,"105.9","106.4"
