"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Ennis Whatley","PG",75,177,2,23,4,0,"27",14,0,1,0,0,0,0,"103.0","104.8"
"Jeff Malone","SG",76,205,2,24,80,80,"2992",1522,17,180,0,0,0,0,24,5,5,"197",103,2,13,0,0,0,0,"103.0","104.8"
"Darren Daye","SF",80,220,2,25,64,4,"1075",399,3,121,0,0,0,0,25,4,0,"32",12,0,3,0,0,0,0,"103.0","104.8"
"Gus Williams","PG",74,175,9,32,77,67,"2284",1013,116,113,0,0,0,0,32,5,5,"199",79,10,11,0,0,0,0,"103.0","104.8"
"Kevin McKenna","SG",77,195,3,27,30,1,"430",166,75,54,0,0,0,0,27,1,0,"2",0,0,0,0,0,0,0,"103.0","104.8"
"Frank Johnson","PG",73,185,4,27,14,9,"402",154,3,30,0,0,0,0,"103.0","104.8"
"Perry Moss","PG",74,185,0,27,12,0,"160",53,7,26,0,0,0,0,"103.0","104.8"
"Freeman Williams","SG",76,190,5,29,9,0,"110",67,14,10,0,0,0,0,"103.0","104.8"
"Charles Jones","C",81,215,2,28,81,58,"1609",254,1,235,0,0,0,0,28,5,5,"72",11,0,13,0,0,0,0,"103.0","104.8"
"Dan Roundfield","PF",80,205,10,32,79,21,"2321",660,6,194,0,0,0,0,32,5,0,"177",53,1,17,0,0,0,0,"103.0","104.8"
"Tom McMillen","C",83,215,10,33,56,1,"863",285,3,85,0,0,0,0,33,4,0,"54",16,0,2,0,0,0,0,"103.0","104.8"
"Cliff Robinson","SF",81,220,6,25,78,78,"2563",1255,4,217,0,0,0,0,25,5,5,"177",93,0,19,0,0,0,0,"103.0","104.8"
"Claude Gregory","PF",80,205,0,27,2,0,"2",2,0,1,0,0,0,0,"103.0","104.8"
"Jeff Ruland","PF",82,240,4,27,30,24,"1114",383,4,100,0,0,0,0,27,2,0,"54",14,0,6,0,0,0,0,"103.0","104.8"
"Leon Wood","PG",75,185,1,23,39,0,"743",330,85,46,0,0,0,0,23,1,0,"2",5,1,0,0,0,0,0,"103.0","104.8"
"Manute Bol","C",91,200,0,23,80,60,"2090",278,1,255,0,0,0,0,23,5,5,"152",17,0,15,0,0,0,0,"103.0","104.8"
"George Johnson","PF",79,210,7,29,2,0,"7",3,0,1,0,0,0,0,"103.0","104.8"
"Dudley Bradley","SG",78,195,5,28,70,7,"842",209,68,101,0,0,0,0,28,5,0,"82",29,10,14,0,0,0,0,"103.0","104.8"
"Kenny Green","SF",78,210,0,21,20,0,"221",101,1,26,0,0,0,0,"103.0","104.8"
"Kevin Willis","PF",84,220,1,23,82,59,"2300",811,6,294,0,0,0,0,23,9,9,"280",98,0,38,0,0,0,0,"107.9","105.6"
"Jon Koncak","C",84,250,0,22,82,15,"1695",519,1,296,0,0,0,0,22,9,0,"193",29,0,27,0,0,0,0,"107.9","105.6"
"John Battle","SG",74,175,0,23,64,0,"639",222,7,80,0,0,0,0,23,6,0,"27",11,1,5,0,0,0,0,"107.9","105.6"
"Dominique Wilkins","SF",79,200,3,26,78,78,"3049",1897,70,170,0,0,0,0,26,9,9,"360",217,5,24,0,0,0,0,"107.9","105.6"
"Scott Hastings","PF",82,235,3,25,62,0,"650",159,4,118,0,0,0,0,25,9,0,"49",14,4,11,0,0,0,0,"107.9","105.6"
"Spud Webb","PG",66,133,0,22,79,8,"1229",412,11,164,0,0,0,0,22,9,0,"183",81,2,13,0,0,0,0,"107.9","105.6"
"Randy Wittman","SG",78,210,2,26,81,79,"2760",881,16,118,0,0,0,0,26,9,9,"348",135,2,16,0,0,0,0,"107.9","105.6"
"Antoine Carr","PF",81,225,1,24,17,0,"258",93,0,51,0,0,0,0,"107.9","105.6"
"Eddie Johnson","SG",74,180,8,30,39,5,"862",328,20,72,0,0,0,0,"107.9","105.6"
"Johnny Davis","SG",74,170,9,30,27,7,"402",107,2,32,0,0,0,0,30,8,0,"65",25,0,6,0,0,0,0,"107.9","105.6"
"Lorenzo Charles","SF",79,225,0,22,36,0,"273",88,0,37,0,0,0,0,22,4,0,"15",4,0,1,0,0,0,0,"107.9","105.6"
"Ray Williams","PG",75,188,8,31,19,13,"367",143,11,48,0,0,0,0,"107.9","105.6"
"Tree Rollins","C",85,235,8,30,74,61,"1781",347,1,239,0,0,0,0,30,9,9,"248",47,0,32,0,0,0,0,"107.9","105.6"
"Doc Rivers","PG",76,185,2,24,53,50,"1571",464,16,185,0,0,0,0,24,9,9,"262",92,6,38,0,0,0,0,"107.9","105.6"
"Cliff Levingston","PF",80,210,3,25,81,35,"1945",551,1,260,0,0,0,0,25,9,0,"180",37,1,23,0,0,0,0,"107.9","105.6"
"Sedric Toney","PG",74,178,0,23,3,0,"24",7,0,6,0,0,0,0,"107.9","105.6"
"Mark West","C",82,230,2,25,67,26,"1172",209,0,235,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Ennis Whatley","PG",75,177,2,23,8,0,"66",19,0,8,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Roy Hinson","SF",81,210,2,24,82,82,"2834",1167,4,316,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Keith Lee","PF",82,215,0,23,58,38,"1197",380,9,204,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Lonnie Shelton","PF",80,240,9,30,44,1,"682",188,2,128,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Melvin Turpin","C",83,240,1,25,80,69,"2292",838,4,260,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Edgar Jones","PF",82,225,5,29,53,6,"1011",370,23,142,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Dirk Minniefield","PG",75,180,0,25,76,2,"1131",347,37,165,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"John Bagley","PG",72,185,3,25,78,77,"2472",865,37,165,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Ben Poquette","PF",81,235,8,30,81,3,"1496",348,10,187,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Eddie Johnson","SG",74,180,8,30,32,4,"615",293,65,56,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Johnny Davis","SG",74,170,9,30,39,0,"612",237,11,44,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Ben McDonald","SF",80,210,0,23,21,0,"266",58,1,30,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Ron Anderson","SF",79,215,1,27,17,3,"207",74,1,20,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"World B. Free","SG",74,185,10,32,75,75,"2535",1433,169,186,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Phil Hubbard","SF",80,215,6,29,23,21,"640",198,1,78,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"Ron Brewer","SG",76,180,7,30,40,3,"552",215,17,43,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.5","108.3"
"John Paxson","PG",74,185,2,25,75,3,"1570",328,50,172,0,0,0,0,25,3,0,"80",15,0,9,0,0,0,0,"108.6","112.4"
"Jawann Oldham","C",84,215,5,28,52,47,"1276",323,1,206,0,0,0,0,28,1,0,"4",1,0,0,0,0,0,0,"108.6","112.4"
"Orlando Woolridge","SF",81,215,4,26,70,59,"2248",1090,23,186,0,0,0,0,26,3,3,"135",62,1,12,0,0,0,0,"108.6","112.4"
"Rod Higgins","SF",79,200,3,26,5,0,"81",23,1,11,0,0,0,0,"108.6","112.4"
"Gene Banks","SF",79,215,4,26,82,33,"2139",688,19,212,0,0,0,0,26,3,0,"69",18,2,10,0,0,0,0,"108.6","112.4"
"Mike Holton","PG",76,185,1,24,24,0,"447",155,10,40,0,0,0,0,"108.6","112.4"
"Charles Oakley","PF",80,225,0,22,77,30,"1772",541,3,250,0,0,0,0,22,3,3,"88",21,0,13,0,0,0,0,"108.6","112.4"
"Michael Jordan","SG",78,195,1,22,18,7,"451",328,18,46,0,0,0,0,22,3,3,"135",95,1,13,0,0,0,0,"108.6","112.4"
"George Gervin","SG",79,180,13,33,82,75,"2065",1100,19,210,0,0,0,0,33,2,0,"11",1,0,3,0,0,0,0,"108.6","112.4"
"Quintin Dailey","SG",75,180,3,25,35,0,"723",470,8,86,0,0,0,0,"108.6","112.4"
