"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Juwan Howard","PF",81,240,17,38,28,0,"190",55,0,18,0,0,0,0,38,9,0,"24",7,0,0,0,0,0,0,"106.6","100.2"
"Dwyane Wade","SG",76,212,8,30,49,49,"1625",837,56,110,0,0,0,0,30,23,23,"907",426,34,65,0,0,0,0,"106.6","100.2"
"Joel Anthony","C",81,245,4,29,64,51,"1349",152,0,126,0,0,0,0,29,17,1,"329",29,0,41,0,0,0,0,"106.6","100.2"
"Ronny Turiaf","C",82,249,6,29,13,5,"221",30,1,32,0,0,0,0,29,12,7,"121",18,0,23,0,0,0,0,"106.6","100.2"
"Chris Bosh","PF",83,235,8,27,57,57,"2007",807,35,128,0,0,0,0,27,14,10,"439",148,13,20,0,0,0,0,"106.6","100.2"
"Mike Miller","SG",80,218,11,31,39,2,"752",209,117,58,0,0,0,0,31,23,0,"368",99,75,41,0,0,0,0,"106.6","100.2"
"Dexter Pittman","C",83,308,1,23,35,6,"301",94,0,73,0,0,0,0,23,3,1,"8",2,0,2,0,0,0,0,"106.6","100.2"
"James Jones","SG",80,225,8,31,51,10,"666",150,114,45,0,0,0,0,31,20,0,"173",43,30,12,0,0,0,0,"106.6","100.2"
"Udonis Haslem","PF",80,230,8,31,64,10,"1589",357,0,142,0,0,0,0,31,22,11,"452",88,0,60,0,0,0,0,"106.6","100.2"
"Mickell Gladness","PF",83,220,0,25,8,0,"28",3,0,8,0,0,0,0,"106.6","100.2"
"Eddy Curry","C",84,295,9,29,14,1,"83",26,0,17,0,0,0,0,"106.6","100.2"
"Terrel Harris","SG",77,190,0,24,22,1,"318",83,39,34,0,0,0,0,24,4,0,"10",2,1,0,0,0,0,0,"106.6","100.2"
"Shane Battier","SF",80,220,10,33,65,10,"1499",292,183,105,0,0,0,0,33,23,16,"768",140,110,69,0,0,0,0,"106.6","100.2"
"Norris Cole","PG",74,170,0,23,65,2,"1260",450,76,124,0,0,0,0,23,19,0,"170",37,12,24,0,0,0,0,"106.6","100.2"
"Mario Chalmers","PG",73,190,3,25,64,64,"1825",498,260,166,0,0,0,0,25,23,23,"819",208,92,69,0,0,0,0,"106.6","100.2"
"LeBron James","SF",80,240,8,27,62,62,"2326",1169,149,96,0,0,0,0,27,23,23,"983",502,85,47,0,0,0,0,"106.6","100.2"
"Brian Cardinal","SF",80,245,11,34,44,0,"277",55,49,38,0,0,0,0,34,2,0,"9",2,1,0,0,0,0,0,"103.3","102.3"
"Sean Williams","C",82,235,3,25,8,0,"65",16,0,14,0,0,0,0,"103.3","102.3"
"Yi Jianlian","PF",84,238,4,24,30,0,"203",82,10,23,0,0,0,0,24,1,0,"5",3,1,0,0,0,0,0,"103.3","102.3"
"Lamar Odom","SF",82,220,12,32,50,4,"1027",349,111,97,0,0,0,0,"103.3","102.3"
"Jason Kidd","PG",76,205,17,38,48,48,"1379",273,223,83,0,0,0,0,38,4,4,"144",41,26,7,0,0,0,0,"103.3","102.3"
"Dirk Nowitzki","PF",84,237,13,33,62,62,"2079",1034,212,129,0,0,0,0,33,4,4,"154",77,6,9,0,0,0,0,"103.3","102.3"
"Dominique Jones","PG",76,215,1,23,33,1,"268",73,8,28,0,0,0,0,"103.3","102.3"
"Brendan Haywood","C",84,268,10,32,54,54,"1146",228,0,121,0,0,0,0,32,4,4,"61",14,0,8,0,0,0,0,"103.3","102.3"
"Shawn Marion","SF",79,220,12,33,63,63,"1919",646,68,87,0,0,0,0,33,4,4,"140",40,14,14,0,0,0,0,"103.3","102.3"
"Vince Carter","SG",78,215,13,35,61,40,"1542",542,205,134,0,0,0,0,35,4,0,"107",41,10,11,0,0,0,0,"103.3","102.3"
"Ian Mahinmi","C",83,230,3,25,61,12,"1139",238,1,176,0,0,0,0,25,4,0,"70",14,0,13,0,0,0,0,"103.3","102.3"
"Kelenna Azubuike","SG",77,220,4,28,3,0,"18",8,3,1,0,0,0,0,28,1,0,"5",3,1,0,0,0,0,0,"103.3","102.3"
"Delonte West","PG",76,180,7,28,44,33,"1060",360,76,67,0,0,0,0,28,4,3,"88",26,6,5,0,0,0,0,"103.3","102.3"
"Rodrigue Beaubois","PG",72,170,2,23,53,12,"1151",445,132,98,0,0,0,0,23,2,0,"12",2,1,1,0,0,0,0,"103.3","102.3"
