"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Kendall Gill","SG",77,195,1,23,79,79,"2906",1427,25,237,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Mike Gminski","C",83,250,11,32,35,10,"499",199,3,37,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Rex Chapman","PG",76,185,3,24,21,11,"545",240,27,47,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Anthony Frederick","SF",79,205,2,27,66,26,"852",370,17,91,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Johnny Newman","SF",79,190,5,28,55,55,"1651",618,46,181,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Cedric Hunter","PG",72,180,0,27,1,0,"1",0,0,0,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Larry Johnson","PF",78,250,0,22,82,77,"3047",1258,22,225,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Elliot Perry","PG",72,150,0,22,40,0,"371",114,5,26,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Greg Grant","PG",67,140,2,25,13,0,"57",8,0,3,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Kenny Gattison","PF",80,225,4,27,82,71,"2223",799,2,273,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Muggsy Bogues","PG",63,136,4,27,82,69,"2790",671,27,156,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Eric Leckner","C",83,265,3,25,59,2,"716",154,1,114,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Kevin Lynch","SG",77,195,0,23,55,3,"819",223,8,107,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"J.R. Reid","C",81,247,2,23,51,7,"1257",435,3,159,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Dell Curry","SG",76,190,5,27,77,0,"2020",1038,183,156,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Tony Massenburg","PF",81,220,1,24,3,0,"13",3,0,2,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Michael Ansley","SF",79,225,2,24,2,0,"13",7,0,1,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Ron Grandison","PF",78,215,1,27,3,0,"25",4,0,4,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.1","110.9"
"Larry Robinson","SG",75,180,1,24,1,0,"6",5,0,3,0,0,0,0,"110.8","107.0"
"Dee Brown","PG",73,160,1,23,31,20,"883",350,22,74,0,0,0,0,23,6,0,"120",44,3,16,0,0,0,0,"110.8","107.0"
"Rick Fox","SF",79,230,0,22,81,5,"1535",525,70,230,0,0,0,0,22,8,0,"67",23,6,11,0,0,0,0,"110.8","107.0"
"Joe Kleine","C",83,255,6,30,70,3,"991",293,8,99,0,0,0,0,30,9,0,"82",22,1,11,0,0,0,0,"110.8","107.0"
"Sherman Douglas","PG",72,180,2,25,37,0,"654",222,9,68,0,0,0,0,25,6,0,"65",25,2,8,0,0,0,0,"110.8","107.0"
"Brian Shaw","PG",78,190,2,25,17,3,"436",164,7,29,0,0,0,0,"110.8","107.0"
"Robert Parish","C",84,230,15,38,79,79,"2285",874,0,172,0,0,0,0,38,10,10,"335",101,0,22,0,0,0,0,"110.8","107.0"
"John Bagley","PG",72,185,8,31,73,59,"1742",506,42,123,0,0,0,0,31,10,10,"308",95,4,17,0,0,0,0,"110.8","107.0"
"Larry Bird","SF",81,220,12,35,45,45,"1662",758,128,82,0,0,0,0,35,4,2,"107",42,5,7,0,0,0,0,"110.8","107.0"
"Tony Massenburg","PF",81,220,1,24,7,0,"46",9,0,7,0,0,0,0,"110.8","107.0"
"Rickey Green","PG",72,170,13,37,26,0,"367",103,4,28,0,0,0,0,"110.8","107.0"
"Kevin McHale","PF",82,210,11,34,56,1,"1398",634,13,112,0,0,0,0,34,10,0,"306",126,1,34,0,0,0,0,"110.8","107.0"
"Kevin Pritchard","PG",75,180,1,24,11,0,"136",34,3,17,0,0,0,0,"110.8","107.0"
"Reggie Lewis","SG",79,195,4,26,82,82,"3070",1397,21,258,0,0,0,0,26,10,10,"408",218,6,38,0,0,0,0,"110.8","107.0"
"Kenny Battle","SG",78,210,2,27,8,0,"46",4,0,4,0,0,0,0,"110.8","107.0"
"Stojko Vrankovic","C",86,260,1,28,19,0,"110",32,0,22,0,0,0,0,28,1,0,"3",1,0,0,0,0,0,0,"110.8","107.0"
"Kevin Gamble","SF",77,210,4,26,82,77,"2496",908,31,200,0,0,0,0,26,10,10,"335",131,2,26,0,0,0,0,"110.8","107.0"
"Ed Pinckney","PF",81,195,6,28,81,36,"1917",378,1,158,0,0,0,0,28,10,8,"314",58,1,30,0,0,0,0,"110.8","107.0"
"Jayson Williams","PF",81,240,1,23,50,8,"646",206,0,110,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.3","109.7"
"Manute Bol","C",91,200,6,29,71,2,"1267",128,9,139,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.3","109.7"
"Jeff Ruland","C",82,240,6,33,13,5,"209",38,0,45,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.3","109.7"
