"","Date","Name","Team","Started","B2B","MP","FGA","X3PA","PF","USG.","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
"1",19990205,"Litterial Green","Cleveland Cavaliers",0,0,"2:00",0,0,0,0,120,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"2",19990205,"Anthony Johnson","Atlanta Hawks",0,0,"11:00",0,3,0,72,87,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"3",19990205,"Grant Long","Atlanta Hawks",0,0,"19:00",0,4,0,145,87,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"4",19990205,"Chris Crawford","Atlanta Hawks",0,0,"1:00",0,0,0,0,102,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"5",19990205,"Jeffrey Sheppard","Atlanta Hawks",0,0,"1:00",1,0,0,0,102,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"6",19990205,"Danny Ferry","Cleveland Cavaliers",0,0,"14:00",0,2,0,34,119,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"7",19990205,"Derek Anderson","Cleveland Cavaliers",0,0,"20:00",0,3,0,83,119,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"8",19990205,"Zydrunas Ilgauskas","Cleveland Cavaliers",1,0,"38:00",0,3,0,106,108,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"9",19990205,"Cedric Henderson","Cleveland Cavaliers",1,0,"25:00",0,3,0,69,111,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"10",19990205,"Dikembe Mutombo","Atlanta Hawks",1,0,"36:00",0,2,0,135,85,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"11",19990205,"Tyrone Corbin","Atlanta Hawks",0,0,"21:00",0,0,0,80,98,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"12",19990205,"Bob Sura","Cleveland Cavaliers",0,0,"19:00",0,4,0,71,104,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"13",19990205,"Brevin Knight","Cleveland Cavaliers",1,0,"29:00",0,3,0,72,111,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"14",19990205,"Alan Henderson","Atlanta Hawks",1,0,"28:00",0,2,0,101,95,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"15",19990205,"Mookie Blaylock","Atlanta Hawks",1,0,"37:00",4,2,0,129,91,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"16",19990205,"Mitchell Butler","Cleveland Cavaliers",0,0,"2:00",0,1,0,200,101,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
"17",19990205,"Mark West","Atlanta Hawks",0,0,"12:00",0,2,0,67,98,"Atlanta Hawks","Cleveland Cavaliers","Atlanta Hawks",NA,NA,NA
