"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Reggie Miller","SG",79,185,2,24,82,82,"3192",1287,362,175,0,0,0,0,24,3,3,"125",35,7,6,0,0,0,0,"111.5","111.4"
"Vern Fleming","PG",77,185,5,27,82,82,"2876",919,34,213,0,0,0,0,27,3,3,"113",34,2,6,0,0,0,0,"111.5","111.4"
"George McCloud","SF",78,205,0,22,44,0,"413",144,40,56,0,0,0,0,22,1,0,"4",2,0,2,0,0,0,0,"111.5","111.4"
"Rik Smits","C",88,250,1,23,82,82,"2404",967,1,328,0,0,0,0,23,3,3,"96",28,0,12,0,0,0,0,"111.5","111.4"
"Calvin Natt","SF",78,220,10,33,14,0,"164",31,0,14,0,0,0,0,33,2,0,"14",3,0,5,0,0,0,0,"111.5","111.4"
"Chuck Person","SF",80,220,3,25,77,73,"2714",1242,253,217,0,0,0,0,25,3,3,"123",45,10,11,0,0,0,0,"111.5","111.4"
"Dyron Nix","SF",79,210,0,22,20,0,"109",39,0,15,0,0,0,0,"111.5","111.4"
"Randy Wittman","SF",78,210,6,30,61,0,"544",122,2,21,0,0,0,0,30,2,0,"11",1,0,0,0,0,0,0,"111.5","111.4"
"Greg Dreiling","C",85,250,3,27,49,0,"307",53,0,69,0,0,0,0,"111.5","111.4"
"Mike Sanders","SF",78,210,7,29,82,13,"1531",479,14,220,0,0,0,0,29,3,0,"24",11,1,4,0,0,0,0,"111.5","111.4"
"Rickey Green","PG",72,170,11,35,69,0,"927",231,11,60,0,0,0,0,35,3,0,"31",7,0,5,0,0,0,0,"111.5","111.4"
"Detlef Schrempf","PF",81,214,4,27,78,18,"2573",822,48,271,0,0,0,0,27,3,3,"125",47,3,13,0,0,0,0,"111.5","111.4"
"LaSalle Thompson","C",82,245,7,28,82,60,"2126",471,5,313,0,0,0,0,28,3,0,"54",15,0,13,0,0,0,0,"111.5","111.4"
"Kevin Willis","PF",84,220,4,27,81,51,"2273",805,7,259,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Duane Ferrell","SF",79,209,1,24,14,0,"29",14,1,3,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Jon Koncak","C",84,250,4,26,54,28,"977",127,1,182,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"John Battle","SG",74,175,4,27,60,48,"1477",544,13,115,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Wes Matthews","PG",73,170,8,30,1,0,"13",3,1,0,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Dominique Wilkins","SF",79,200,7,30,80,79,"2888",1672,183,141,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Kenny Smith","PG",75,170,2,24,33,5,"674",204,24,45,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"John Long","SG",77,195,11,33,48,19,"1030",384,29,66,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Moses Malone","C",82,215,15,34,81,81,"2735",1077,9,158,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Spud Webb","PG",66,133,4,26,82,46,"2184",616,19,185,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Antoine Carr","PF",81,225,5,28,44,0,"803",248,4,128,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Mike Williams","SF",80,255,0,26,5,0,"14",4,0,2,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Haywoode Workman","PG",74,180,0,24,6,0,"16",3,0,3,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Alexander Volkov","C",82,218,0,25,72,4,"937",284,34,166,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Roy Marble","SG",78,190,0,23,24,0,"162",58,2,16,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Doc Rivers","PG",76,185,6,28,48,44,"1526",480,66,151,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Cliff Levingston","PF",80,210,7,29,75,5,"1706",424,5,216,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Sedric Toney","PG",74,178,3,27,32,0,"286",72,13,35,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"113.0","111.9"
"Jay Humphries","PG",75,185,5,27,81,81,"2818",1005,70,253,0,0,0,0,27,3,2,"79",15,3,6,0,0,0,0,"107.3","108.1"
"Randy Breuer","C",87,230,6,29,30,8,"554",186,0,63,0,0,0,0,"107.3","108.1"
"Fred Roberts","PF",82,218,6,29,82,66,"2235",666,11,210,0,0,0,0,29,4,4,"79",20,1,9,0,0,0,0,"107.3","108.1"
"Gerald Henderson","PG",74,175,10,34,11,0,"129",26,7,14,0,0,0,0,"107.3","108.1"
"Ben Coleman","PF",81,235,3,28,22,0,"305",97,1,54,0,0,0,0,"107.3","108.1"
"Ricky Pierce","SG",76,205,7,30,59,0,"1709",987,133,158,0,0,0,0,30,4,0,"122",60,10,14,0,0,0,0,"107.3","108.1"
"Tito Horford","C",85,245,1,24,35,0,"236",62,0,33,0,0,0,0,24,2,0,"2",1,0,0,0,0,0,0,"107.3","108.1"
"Frank Kornet","PF",81,225,0,23,57,0,"438",114,20,54,0,0,0,0,23,2,0,"4",1,1,1,0,0,0,0,"107.3","108.1"
"Greg Anderson","PF",82,230,2,25,60,28,"1291",432,0,176,0,0,0,0,25,4,0,"101",19,0,19,0,0,0,0,"107.3","108.1"
"Brad Lohaus","PF",83,230,2,25,52,17,"1353",461,121,145,0,0,0,0,25,4,4,"147",40,16,17,0,0,0,0,"107.3","108.1"
"Tony Brown","SF",78,185,4,29,61,10,"635",206,20,79,0,0,0,0,29,2,0,"13",3,1,3,0,0,0,0,"107.3","108.1"
"Alvin Robertson","SG",75,185,5,27,81,81,"2599",946,26,280,0,0,0,0,27,4,4,"155",67,1,16,0,0,0,0,"107.3","108.1"
"Larry Krystkowiak","PF",81,220,3,25,16,7,"381",118,2,41,0,0,0,0,"107.3","108.1"
"Jack Sikma","C",83,230,12,34,71,70,"2250",827,199,244,0,0,0,0,34,4,4,"117",23,7,19,0,0,0,0,"107.3","108.1"
"Jeff Grayer","SF",77,200,1,24,71,40,"1427",487,8,125,0,0,0,0,24,4,0,"12",0,0,1,0,0,0,0,"107.3","108.1"
"Paul Pressey","SG",77,185,7,31,57,2,"1400",506,43,149,0,0,0,0,31,4,2,"129",44,3,14,0,0,0,0,"107.3","108.1"
"Jerry Sichting","PG",73,168,9,33,1,0,"27",6,0,1,0,0,0,0,"107.3","108.1"
"Mike Dunleavy","PG",75,180,10,35,5,0,"43",14,9,7,0,0,0,0,"107.3","108.1"
"Charles Smith","PG",73,160,0,22,60,0,"519",133,7,75,0,0,0,0,22,3,0,"9",2,0,0,0,0,0,0,"112.0","107.9"
"Joe Kleine","C",83,255,4,28,81,4,"1365",367,4,170,0,0,0,0,28,5,0,"79",17,1,12,0,0,0,0,"112.0","107.9"
"Dennis Johnson","PG",76,185,13,35,75,65,"2036",475,24,179,0,0,0,0,35,5,5,"162",62,6,17,0,0,0,0,"112.0","107.9"
"Kelvin Upshaw","SG",74,180,1,27,14,0,"131",39,5,19,0,0,0,0,"112.0","107.9"
"Ed Pinckney","PF",81,195,4,26,77,50,"1082",249,1,126,0,0,0,0,26,4,0,"25",7,0,3,0,0,0,0,"112.0","107.9"
"John Bagley","PG",72,185,7,29,54,17,"1095",218,18,77,0,0,0,0,29,5,0,"70",15,1,9,0,0,0,0,"112.0","107.9"
"Larry Bird","SF",81,220,10,33,75,75,"2944",1517,195,173,0,0,0,0,33,5,5,"207",99,19,10,0,0,0,0,"112.0","107.9"
"Robert Parish","C",84,230,13,36,79,78,"2396",871,0,189,0,0,0,0,36,5,5,"170",54,0,21,0,0,0,0,"112.0","107.9"
"Kevin McHale","PF",82,210,9,32,82,25,"2722",1181,69,250,0,0,0,0,32,5,5,"192",69,3,17,0,0,0,0,"112.0","107.9"
"Reggie Lewis","SG",79,195,2,24,79,54,"2522",1089,15,216,0,0,0,0,24,5,5,"200",62,1,14,0,0,0,0,"112.0","107.9"
"Jim Paxson","PG",78,200,10,32,72,25,"1283",422,20,115,0,0,0,0,32,5,0,"62",16,1,1,0,0,0,0,"112.0","107.9"
"Michael Smith","PF",82,225,0,24,65,7,"620",286,28,51,0,0,0,0,24,4,0,"16",8,2,1,0,0,0,0,"112.0","107.9"
"Kevin Gamble","SF",77,210,2,24,71,10,"990",301,18,77,0,0,0,0,24,3,0,"8",5,0,1,0,0,0,0,"112.0","107.9"
"Jeff Malone","SG",76,205,6,28,75,74,"2567",1592,6,116,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Tom Hammonds","PF",81,215,0,22,61,8,"805",295,1,98,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Darrell Walker","PG",76,180,6,28,81,81,"2883",696,21,220,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Ledell Eackles","SG",77,220,1,23,78,8,"1696",940,59,157,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Doug Roth","C",83,255,0,22,42,0,"412",86,1,70,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Bernard King","SF",79,205,11,33,82,82,"2687",1459,23,230,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Melvin Turpin","C",83,240,4,29,59,12,"818",209,2,135,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Mark Alarie","PF",80,217,3,26,82,10,"1893",785,49,219,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"John Williams","SF",80,235,3,23,18,18,"632",274,18,33,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Harvey Grant","PF",80,195,1,24,81,25,"1846",601,8,194,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Charles Jones","C",81,215,6,32,81,81,"2240",185,0,296,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Ed Horton","PF",80,230,0,22,45,10,"374",162,4,63,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Steve Colter","PG",75,165,5,27,73,1,"977",297,5,98,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"107.5","109.7"
"Micheal Williams","PG",74,175,1,23,22,1,"303",109,3,39,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"102.0","109.9"
"Jerry Sichting","PG",73,168,9,33,34,8,"469",119,12,39,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"102.0","109.9"
"Brian Rowsom","PF",81,220,2,24,44,2,"559",179,2,58,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"102.0","109.9"
