"","Date","Name","Team","Started","B2B","MP","FGA","X3PA","PF","USG.","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
"1","1988114","Kenny Walker","New York Knicks",0,0,"15:00",0,0,0,54,108,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"2","1988114","Eddie Lee Wilkins","New York Knicks",0,0,"13:00",0,3,0,84,108,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"3","1988114","Larry Bird","Boston Celtics",1,0,"47:00",0,4,0,124,98,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"4","1988114","Rod Strickland","New York Knicks",0,0,"18:00",0,1,0,79,106,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"5","1988114","Brad Lohaus","Boston Celtics",0,0,"9:00",0,0,0,101,99,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"6","1988114","Patrick Ewing","New York Knicks",1,0,"33:00",0,6,0,115,108,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"7","1988114","Dennis Johnson","Boston Celtics",1,0,"35:00",0,4,0,151,106,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"8","1988114","Johnny Newman","New York Knicks",1,0,"41:00",4,2,0,100,103,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"9","1988114","Trent Tucker","New York Knicks",0,0,"20:00",1,1,0,102,113,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"10","1988114","Mark Acres","Boston Celtics",0,0,"12:00",0,4,0,127,105,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"11","1988114","Danny Ainge","Boston Celtics",1,0,"25:00",3,0,0,81,103,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"12","1988114","Mark Jackson","New York Knicks",1,0,"37:00",0,6,0,119,109,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"13","1988114","Robert Parish","Boston Celtics",1,0,"40:00",0,5,0,93,93,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"14","1988114","Brian Shaw","Boston Celtics",0,0,"27:00",0,0,0,103,102,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"15","1988114","Sidney Green","New York Knicks",0,0,"10:00",0,4,0,0,107,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"16","1988114","Kevin McHale","Boston Celtics",1,0,"38:00",0,2,0,107,105,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"17","1988114","Reggie Lewis","Boston Celtics",0,0,"13:00",1,2,0,48,109,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"18","1988114","Gerald Wilkins","New York Knicks",1,0,"37:00",5,1,0,115,112,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"19","1988114","Jim Paxson","Boston Celtics",0,0,"18:00",0,1,0,131,102,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"20","1988114","Charles Oakley","New York Knicks",1,0,"41:00",0,5,0,89,101,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"21","1988114","Ron Grandison","Boston Celtics",0,0,"1:00",0,0,0,0,109,"Boston Celtics","New York Knicks","Boston Celtics",NA,NA,NA
"22","1988114","Tom Tolbert","Charlotte Hornets",0,0,"4:00",0,2,0,200,124,"Charlotte Hornets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
"23","1988114","Larry Nance","Cleveland Cavaliers",1,0,"25:00",0,2,0,134,85,"Charlotte Hornets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
