"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Nick Anderson","SG",78,205,1,23,70,42,"1971",857,58,145,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Terry Catledge","PF",80,220,5,27,51,38,"1459",632,5,113,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Sam Vincent","PG",74,185,5,27,49,17,"975",353,19,74,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Jerry Reynolds","SG",80,200,5,28,80,9,"1843",793,34,123,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Otis Smith","SF",77,210,4,27,75,39,"1885",902,46,190,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Mark Acres","C",83,220,3,28,68,0,"1313",214,3,218,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Greg Kite","C",83,250,7,29,82,82,"2225",338,0,298,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Morlon Wiley","PG",76,185,2,24,34,0,"350",108,12,37,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Jeff Turner","PF",81,230,4,28,71,43,"1683",532,15,234,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Scott Skiles","PG",73,180,4,26,79,66,"2714",1039,228,192,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Dennis Scott","SG",80,229,0,22,82,73,"2336",1183,334,203,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Mark McNamara","C",83,235,7,31,2,0,"13",1,0,1,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Michael Ansley","SF",79,225,1,23,67,1,"877",263,0,125,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Howard Wright","PF",80,220,0,23,8,0,"136",41,0,23,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"105.9","109.9"
"Kevin Willis","PF",84,220,5,28,80,80,"2373",881,10,235,0,0,0,0,28,5,5,"159",67,3,22,0,0,0,0,"110.9","110.1"
"Duane Ferrell","SF",79,209,2,25,78,2,"1165",356,3,151,0,0,0,0,25,5,0,"73",18,0,10,0,0,0,0,"110.9","110.1"
"Rumeal Robinson","PG",74,195,0,24,47,16,"674",242,11,65,0,0,0,0,24,2,0,"13",4,0,1,0,0,0,0,"110.9","110.1"
