"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Fred Hoiberg","IND","SG",76,203,0,23,15,1,85,19,3,12,14.4,18.3,0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",110.8,107.2
"Duane Ferrell","IND","SF",79,209,7,30,54,6,591,166,8,83,10.9,17.5,0.3,0.6,5,0,"69",19,0,10,7.8,18.3,-0.1,0.1,110.8,107.2
"Dwayne Schintzius","IND","C",85,260,5,27,33,8,297,110,0,53,11.9,21.4,-0.1,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",110.8,107.2
"Antonio Davis","IND","PF",81,215,2,27,82,14,2092,482,2,248,13.9,15.8,3.6,2.4,5,0,"127",25,0,12,15.3,15.6,0.1,0.2,110.8,107.2
"Ricky Pierce","IND","SG",76,205,13,36,76,2,1404,590,104,188,14.8,25.3,1.8,1.3,5,4,"133",47,8,13,11.1,24.3,0.0,0.1,110.8,107.2
"Mark Jackson","IND","PG",73,180,8,30,81,81,2643,626,149,153,15.9,15.8,4.6,2.6,5,5,"186",51,18,9,12.1,18.3,0.0,0.2,110.8,107.2
"Adrian Caldwell","IND","PF",80,265,3,29,51,1,327,83,0,73,10.4,18.8,-0.2,0.5,1,0,"3",1,0,0,37.4,15.9,0.0,0.0,110.8,107.2
"Haywoode Workman","IND","PG",74,180,4,30,77,4,1164,259,71,152,10.2,15.2,-0.1,1.4,5,0,"53",16,5,5,12.0,17.0,0.1,0.0,110.8,107.2
"Dale Davis","IND","PF",83,230,4,26,78,77,2617,599,0,238,14.3,14.8,2.6,3.7,5,5,"184",31,0,16,11.6,11.9,0.0,0.3,110.8,107.2
"Reggie Miller","IND","SG",79,185,8,30,76,76,2621,1066,410,175,20.1,25.8,8.3,2.0,1,1,"31",17,6,1,35.8,36.2,0.3,0.0,110.8,107.2
"Derrick McKey","IND","SF",81,205,8,29,75,75,2440,712,68,246,14.2,17.9,3.1,2.6,5,5,"180",57,12,20,12.1,20.3,0.0,0.3,110.8,107.2
