"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Shelden Williams","BOS","PF",81,250,3,26,54,0,597,121,1,85,14.1,15.3,1.1,0.9,8,0,"57",9,0,8,3.2,14.8,-0.1,0.1,107.7,103.8
"J.R. Giddens","BOS","SF",77,215,1,24,21,1,99,21,2,10,7.3,15.8,-0.1,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,103.8
"Henry Walker","BOS","SF",78,220,1,22,8,0,29,6,0,4,7.6,14.4,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,103.8
"Marcus Landry","BOS","SF",79,230,0,24,1,0,3,2,2,0,-26.8,31.3,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,103.8
"Oliver Lafayette","BOS","SG",74,190,0,25,1,0,22,6,2,0,12.8,14.9,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,103.8
"Nate Robinson","BOS","PG",69,180,4,25,26,0,382,157,87,50,13.9,22.4,0.2,0.6,17,0,"128",64,33,16,17.1,29.0,0.1,0.2,107.7,103.8
"Glen Davis","BOS","PF",81,289,2,24,54,1,933,279,4,132,11.5,19.7,0.5,1.2,24,1,"483",124,3,54,14.5,17.9,0.5,1.0,107.7,103.8
"Kevin Garnett","BOS","PF",83,220,14,33,69,69,2060,772,5,170,19.4,22.1,3.6,3.8,23,23,"766",301,2,74,17.6,22.2,0.7,1.6,107.7,103.8
"Marquis Daniels","BOS","SF",78,200,6,29,51,4,937,249,28,91,9.6,15.8,0.2,1.0,11,0,"37",13,2,4,14.2,24.1,0.0,0.0,107.7,103.8
"Lester Hudson","BOS","PG",75,190,0,25,16,0,70,18,5,7,8.7,19.9,-0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,103.8
"Eddie House","BOS","PG",73,180,9,31,50,0,846,322,167,61,11.9,20.3,0.4,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.7,103.8
"Kendrick Perkins","BOS","C",82,280,6,25,78,78,2154,522,3,219,15.0,17.6,1.4,3.8,23,23,"575",96,1,79,9.5,13.6,-0.3,1.2,107.7,103.8
"Tony Allen","BOS","SG",76,213,5,28,54,8,889,253,5,109,14.2,19.6,0.2,1.6,24,0,"391",98,5,58,11.2,16.7,-0.1,0.9,107.7,103.8
"Rajon Rondo","BOS","PG",73,171,3,23,81,81,2963,904,80,198,19.1,20.2,4.9,4.7,24,24,"975",326,24,57,17.8,22.0,0.9,1.8,107.7,103.8
"Michael Finley","BOS","SF",79,215,14,36,21,1,314,87,41,21,12.1,14.6,0.4,0.3,18,0,"108",20,11,4,5.2,9.2,-0.1,0.2,107.7,103.8
"Paul Pierce","BOS","SF",79,235,11,32,71,71,2411,867,263,196,18.2,23.8,5.0,3.3,24,24,"930",336,102,80,15.8,23.7,0.9,1.6,107.7,103.8
