"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Glen Davis","ORL","PF",81,289,6,28,45,43,1354,512,10,111,13.7,20.9,0.2,1.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Maurice Harkless","ORL","SF",80,208,1,20,80,41,1950,483,154,140,11.8,14.8,0.6,2.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Tobias Harris","ORL","PF",80,226,2,21,61,36,1850,716,126,143,16.5,22.2,2.4,1.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Andrew Nicholson","ORL","PF",81,250,1,24,76,5,1174,420,89,150,9.9,19.3,-0.4,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Dewayne Dedmon","ORL","C",84,255,0,24,16,6,234,53,0,37,12.5,13.5,0.1,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Solomon Jones","ORL","PF",82,230,7,29,11,0,85,17,0,12,5.8,11.1,0.0,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Jameer Nelson","ORL","PG",72,190,9,31,68,68,2179,747,391,146,13.9,20.1,1.6,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Adonis Thomas","ORL","SF",79,200,0,20,4,0,24,9,3,2,5.8,17.9,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"E'Twaun Moore","ORL","SG",76,191,2,24,79,3,1506,456,161,106,11.1,16.4,0.6,1.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Arron Afflalo","ORL","SG",77,215,6,28,73,73,2552,1011,300,136,16.0,23.3,4.3,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Jason Maxiell","ORL","PF",79,260,8,30,34,13,488,105,0,47,8.1,12.4,-0.1,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Victor Oladipo","ORL","PG",76,210,0,21,80,44,2487,936,226,210,13.6,24.4,-1.4,2.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Nikola Vucevic","ORL","C",84,260,2,23,57,57,1812,696,0,169,18.8,21.8,1.8,2.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Doron Lamb","ORL","SG",76,210,1,22,53,0,695,160,90,54,7.5,13.3,0.3,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Kyle O'Quinn","ORL","C",82,240,1,23,69,19,1188,371,3,165,16.5,18.6,0.5,2.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Ronnie Price","ORL","SG",74,190,8,30,31,2,377,92,43,50,7.6,15.0,-0.5,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",101.7,107.4
"Donald Sloan","IND","SG",75,205,2,26,48,1,392,117,42,19,8.5,17.2,-0.3,0.6,4,0,"15",7,4,0,9.3,35.0,-0.1,0.0,104.1,99.3
"Danny Granger","IND","SF",81,222,8,30,29,2,653,223,94,41,10.3,19.8,0.0,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.1,99.3
"Paul George","IND","SF",81,220,3,23,80,80,2898,1362,500,198,20.1,28.3,4.4,6.4,19,19,"781",315,129,56,20.5,26.3,1.3,1.5,104.1,99.3
"Orlando Johnson","IND","SG",77,220,1,24,38,0,342,96,41,23,6.1,16.0,-0.3,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.1,99.3
"David West","IND","PF",81,240,10,33,80,80,2472,939,15,186,17.5,21.9,3.1,5.0,19,19,"687",245,10,57,15.5,22.4,0.3,1.0,104.1,99.3
"Luis Scola","IND","PF",81,245,6,33,82,2,1399,560,7,164,13.4,23.8,-0.4,2.8,18,0,"243",105,3,29,13.1,24.4,-0.1,0.3,104.1,99.3
"Rasual Butler","IND","SG",79,205,10,34,50,2,378,110,62,30,12.2,15.4,0.5,0.6,11,0,"70",15,12,3,9.1,11.8,0.1,0.1,104.1,99.3
"George Hill","IND","PG",74,180,5,27,76,76,2434,616,260,158,13.4,14.8,3.8,4.0,19,19,"687",178,77,43,12.8,16.5,0.7,0.9,104.1,99.3
"Solomon Hill","IND","SF",79,220,0,22,28,0,226,40,23,19,7.6,11.3,0.0,0.4,1,0,"1",0,0,0,0.0,0.0,0.0,0.0,104.1,99.3
"Andrew Bynum","IND","C",84,285,7,26,2,0,36,22,0,3,19.9,36.9,0.0,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.1,99.3
"Lavoy Allen","IND","PF",81,225,2,24,14,0,112,34,0,11,17.5,17.3,0.2,0.2,4,0,"15",4,0,1,14.3,13.0,0.0,0.0,104.1,99.3
"Chris Copeland","IND","SF",81,235,1,29,41,0,265,117,79,38,17.6,23.7,0.6,0.4,12,0,"82",28,16,13,10.6,22.0,0.0,0.1,104.1,99.3
"Evan Turner","IND","SF",79,205,3,25,27,2,571,190,24,48,9.7,19.1,-0.2,0.9,12,0,"149",35,7,9,9.8,15.8,-0.1,0.2,104.1,99.3
"C.J. Watson","IND","PG",74,180,6,29,63,5,1193,334,145,66,13.0,16.6,1.1,2.1,19,0,"342",90,40,28,10.2,16.6,0.0,0.5,104.1,99.3
"Ian Mahinmi","IND","C",83,230,5,27,77,1,1248,189,1,207,10.2,11.4,0.7,2.7,19,0,"241",27,0,38,8.6,9.1,0.1,0.4,104.1,99.3
"Roy Hibbert","IND","C",86,278,5,27,81,81,2409,754,5,269,13.5,19.4,0.5,5.0,19,19,"542",147,1,62,12.1,17.7,0.2,0.7,104.1,99.3
"Lance Stephenson","IND","SG",77,210,3,23,78,78,2752,870,244,195,14.7,19.4,2.6,4.8,19,19,"705",220,67,55,13.5,19.9,0.3,1.0,104.1,99.3
"Darius Morris","LAC","PG",76,190,2,23,10,0,54,13,7,9,1.5,13.0,-0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",112.1,104.8
"Hedo Turkoglu","LAC","SF",82,220,13,34,38,0,392,109,50,50,11.3,15.0,0.1,0.7,5,0,"41",13,10,3,15.1,13.8,0.1,0.0,112.1,104.8
"Willie Green","LAC","SG",76,200,10,32,55,9,869,271,121,96,7.1,16.3,-0.2,0.7,5,0,"19",5,4,3,12.8,15.7,0.0,0.1,112.1,104.8
"J.J. Redick","LAC","SG",76,190,7,29,35,34,987,398,185,65,16.6,21.8,2.3,0.7,13,13,"351",133,65,23,14.4,19.5,0.6,0.1,112.1,104.8
"Reggie Bullock","LAC","SF",79,205,0,22,43,0,395,121,73,26,6.7,15.4,-0.2,0.3,2,0,"5",1,0,0,23.0,8.7,0.0,0.0,112.1,104.8
"Sasha Vujacic","LAC","SG",79,193,7,29,2,0,10,5,2,1,1.5,35.3,-0.1,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",112.1,104.8
"Jared Dudley","LAC","SF",79,225,6,28,74,43,1729,447,225,146,8.9,13.5,1.2,1.2,7,0,"45",11,6,5,4.3,10.6,0.0,0.0,112.1,104.8
