"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Malik Allen","PF",82,255,7,30,49,3,"579",170,1,89,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Francisco Elson","C",84,235,5,32,59,23,"977",169,4,144,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Joe Alexander","SF",80,230,0,22,59,0,"716",245,46,107,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Dan Gadzuric","C",83,240,6,30,67,26,"941",244,2,162,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Michael Redd","SG",78,220,8,29,33,32,"1203",547,191,45,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Andrew Bogut","C",84,245,3,24,36,33,"1124",317,0,130,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Austin Croshere","PF",81,235,11,33,11,0,"77",30,11,4,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Tyronn Lue","PG",72,175,10,31,30,0,"392",119,45,41,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Ramon Sessions","PG",75,190,1,22,79,39,"2173",775,34,158,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Luke Ridnour","PG",74,175,5,27,72,50,"2033",621,157,200,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Damon Jones","PG",75,185,10,32,18,0,"108",34,28,4,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Luc Mbah a Moute","PF",80,230,0,22,82,52,"2114",491,4,204,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.7","107.9"
"Thabo Sefolosha","SF",77,215,2,24,43,14,"735",182,50,50,0,0,0,0,"108.4","108.7"
"Brad Miller","C",83,244,10,32,27,0,"746",226,13,88,0,0,0,0,32,7,0,"186",51,7,25,0,0,0,0,"108.4","108.7"
"Linton Johnson","PF",80,205,5,28,8,0,"42",11,2,6,0,0,0,0,28,3,0,"10",2,0,1,0,0,0,0,"108.4","108.7"
"Joakim Noah","C",83,232,1,23,80,55,"1938",372,1,238,0,0,0,0,23,7,7,"271",51,0,31,0,0,0,0,"108.4","108.7"
"John Salmons","SF",79,210,6,29,26,21,"979",349,118,60,0,0,0,0,29,7,7,"313",107,38,20,0,0,0,0,"108.4","108.7"
"Ben Gordon","SG",75,200,4,25,82,76,"2999",1315,422,184,0,0,0,0,25,7,7,"304",134,46,22,0,0,0,0,"108.4","108.7"
"Tyrus Thomas","PF",81,215,2,22,79,61,"2175",683,9,220,0,0,0,0,22,7,7,"195",64,1,23,0,0,0,0,"108.4","108.7"
"Tim Thomas","PF",82,230,11,31,18,0,"254",90,43,27,0,0,0,0,31,2,0,"15",10,4,4,0,0,0,0,"108.4","108.7"
"Drew Gooden","PF",82,230,6,27,31,27,"918",352,3,103,0,0,0,0,"108.4","108.7"
"Aaron Gray","C",84,270,1,24,56,18,"715",167,1,135,0,0,0,0,24,2,0,"9",2,0,0,0,0,0,0,"108.4","108.7"
"Kirk Hinrich","SG",75,190,5,28,51,4,"1339",419,169,126,0,0,0,0,28,7,0,"210",62,30,18,0,0,0,0,"108.4","108.7"
"Luol Deng","SF",81,220,4,23,49,46,"1665",591,20,85,0,0,0,0,"108.4","108.7"
