"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Kenny Walker","SF",80,210,2,24,79,2,"1163",356,20,190,0,0,0,0,24,9,0,"90",13,0,22,0,0,0,0,"111.1","107.5"
"Eddie Lee Wilkins","C",82,220,2,26,71,2,"584",245,1,110,0,0,0,0,26,7,0,"26",11,0,3,0,0,0,0,"111.1","107.5"
"Rod Strickland","PG",75,175,0,22,81,10,"1358",567,59,142,0,0,0,0,22,9,0,"111",49,1,21,0,0,0,0,"111.1","107.5"
"Patrick Ewing","C",84,240,3,26,80,80,"2896",1282,6,311,0,0,0,0,26,9,9,"340",144,0,35,0,0,0,0,"111.1","107.5"
"Johnny Newman","SF",79,190,2,25,81,80,"2336",957,287,259,0,0,0,0,25,9,9,"258",107,28,27,0,0,0,0,"111.1","107.5"
"Trent Tucker","SG",77,193,6,29,81,24,"1824",579,296,163,0,0,0,0,29,9,0,"159",58,32,20,0,0,0,0,"111.1","107.5"
"Mark Jackson","PG",73,180,1,23,72,72,"2477",1025,240,163,0,0,0,0,23,9,9,"336",100,28,9,0,0,0,0,"111.1","107.5"
"Sidney Green","PF",81,220,5,28,82,0,"1277",422,3,172,0,0,0,0,28,9,0,"128",30,0,23,0,0,0,0,"111.1","107.5"
"Greg Butler","C",83,240,0,22,33,0,"140",48,3,28,0,0,0,0,"111.1","107.5"
"Pete Myers","SG",78,180,2,25,29,0,"230",61,2,41,0,0,0,0,25,4,0,"14",0,0,2,0,0,0,0,"111.1","107.5"
"Gerald Wilkins","SG",78,185,3,25,81,58,"2414",1025,172,166,0,0,0,0,25,9,9,"290",131,10,27,0,0,0,0,"111.1","107.5"
"Charles Oakley","PF",80,225,3,25,82,82,"2604",835,48,270,0,0,0,0,25,9,9,"299",73,2,31,0,0,0,0,"111.1","107.5"
"Kiki Vandeweghe","PF",80,220,8,30,27,0,"502",209,10,38,0,0,0,0,30,9,0,"159",49,8,10,0,0,0,0,"111.1","107.5"
"Larry Bird","SF",81,220,9,32,6,6,"189",104,0,18,0,0,0,0,"110.8","109.6"
"Joe Kleine","C",83,255,3,27,28,2,"498",129,1,66,0,0,0,0,27,3,0,"65",11,1,9,0,0,0,0,"110.8","109.6"
"Jim Paxson","PG",78,200,9,31,57,7,"1138",445,24,96,0,0,0,0,"110.8","109.6"
"Dennis Johnson","PG",76,185,12,34,72,72,"2309",638,50,211,0,0,0,0,34,3,1,"59",15,0,8,0,0,0,0,"110.8","109.6"
"Kelvin Upshaw","SG",74,180,0,26,23,0,"473",149,10,62,0,0,0,0,26,3,0,"24",12,0,4,0,0,0,0,"110.8","109.6"
"Ed Pinckney","PF",81,195,3,25,29,9,"678",176,0,77,0,0,0,0,25,3,0,"45",12,0,7,0,0,0,0,"110.8","109.6"
"Mark Acres","C",83,220,1,26,62,0,"632",114,1,94,0,0,0,0,26,2,0,"2",1,1,0,0,0,0,0,"110.8","109.6"
"Danny Ainge","PG",76,175,7,29,45,28,"1349",589,155,108,0,0,0,0,"110.8","109.6"
"Brad Lohaus","PF",83,230,1,24,48,15,"738",270,4,101,0,0,0,0,"110.8","109.6"
"Robert Parish","C",84,230,12,35,80,80,"2840",1045,0,209,0,0,0,0,35,3,3,"112",44,0,5,0,0,0,0,"110.8","109.6"
"Brian Shaw","SG",78,190,0,22,82,54,"2301",686,13,211,0,0,0,0,22,3,3,"124",43,1,11,0,0,0,0,"110.8","109.6"
"Kevin McHale","PF",82,210,8,31,78,74,"2876",1211,4,223,0,0,0,0,31,3,3,"115",41,0,13,0,0,0,0,"110.8","109.6"
"Reggie Lewis","SF",79,195,1,23,81,57,"2657",1242,22,258,0,0,0,0,23,3,3,"125",55,2,11,0,0,0,0,"110.8","109.6"
"Ramon Rivas","C",82,260,0,22,28,0,"91",31,1,21,0,0,0,0,"110.8","109.6"
"Otis Birdsong","SG",75,190,11,33,13,0,"108",36,3,10,0,0,0,0,33,3,1,"20",5,2,3,0,0,0,0,"110.8","109.6"
"Kevin Gamble","SF",77,210,1,23,44,6,"375",136,11,40,0,0,0,0,23,1,1,"29",11,1,1,0,0,0,0,"110.8","109.6"
"Ron Grandison","PF",78,215,0,24,72,0,"528",142,10,71,0,0,0,0,"110.8","109.6"
"Randolph Keys","SF",79,195,0,22,42,0,"331",172,10,51,0,0,0,0,22,1,0,"12",3,1,1,0,0,0,0,"110.6","102.9"
"Darnell Valentine","SG",73,183,7,29,77,4,"1086",319,14,88,0,0,0,0,29,5,0,"80",20,0,7,0,0,0,0,"110.6","102.9"
"Craig Ehlo","SG",78,180,5,27,82,4,"1867",524,100,161,0,0,0,0,27,4,1,"97",39,13,10,0,0,0,0,"110.6","102.9"
"Ron Harper","SG",78,185,2,25,82,82,"2851",1149,116,224,0,0,0,0,25,5,5,"189",69,2,20,0,0,0,0,"110.6","102.9"
"Larry Nance","PF",82,205,7,29,73,72,"2526",920,4,186,0,0,0,0,29,5,5,"195",69,0,12,0,0,0,0,"110.6","102.9"
"Mark Price","PG",72,170,2,24,75,74,"2728",1006,211,98,0,0,0,0,24,4,4,"158",57,16,3,0,0,0,0,"110.6","102.9"
"Mike Sanders","SF",78,210,6,28,82,82,"2102",733,10,230,0,0,0,0,28,5,3,"87",30,0,11,0,0,0,0,"110.6","102.9"
"Brad Daugherty","C",84,245,2,23,78,78,"2821",1012,3,175,0,0,0,0,23,5,5,"167",47,1,18,0,0,0,0,"110.6","102.9"
"Chris Dudley","C",83,235,1,23,61,2,"544",168,1,82,0,0,0,0,23,1,0,"4",1,0,1,0,0,0,0,"110.6","102.9"
"Tree Rollins","C",85,235,11,33,60,2,"583",138,1,89,0,0,0,0,33,5,0,"74",8,0,10,0,0,0,0,"110.6","102.9"
"Phil Hubbard","SF",80,215,9,32,31,0,"191",63,0,20,0,0,0,0,32,1,0,"1",0,0,0,0,0,0,0,"110.6","102.9"
"Hot Rod Williams","PF",83,215,2,26,82,10,"2125",700,4,188,0,0,0,0,26,5,2,"161",45,0,12,0,0,0,0,"110.6","102.9"
"Sidney Lowe","SG",72,195,2,29,14,0,"250",25,2,28,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.7","112.1"
"Brian Rowsom","PF",81,220,1,23,34,0,"517",162,1,69,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.7","112.1"
"Rex Chapman","SG",76,185,0,21,75,44,"2219",1271,191,167,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.7","112.1"
"Earl Cureton","C",81,210,8,31,82,41,"2047",465,1,230,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.7","112.1"
"Robert Reid","SF",80,205,10,33,82,54,"2152",1214,52,235,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.7","112.1"
"Mike Holton","PG",76,185,4,27,67,60,"1696",504,14,165,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.7","112.1"
"Kurt Rambis","PF",80,213,7,30,75,75,"2233",627,3,208,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.7","112.1"
