"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Darrell Armstrong","ORL","PG",72,170,5,31,82,82,2590,1119,403,137,19.5,23.9,4.6,3.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Chucky Atkins","ORL","PG",71,160,0,25,82,0,1626,741,163,137,14.4,24.3,1.1,1.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Derek Strong","ORL","PF",80,220,8,31,20,0,148,48,4,15,12.0,18.8,0.0,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Ron Mercer","ORL","SG",79,210,2,23,31,31,969,468,9,76,11.8,25.3,-0.3,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Michael Doleac","ORL","C",83,262,1,22,81,29,1335,535,2,224,13.3,20.2,1.1,1.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Matt Harpring","ORL","SF",79,231,1,23,4,0,63,17,2,7,14.2,14.1,0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"John Amaechi","ORL","C",82,270,1,29,80,53,1684,700,6,161,13.2,24.1,0.6,1.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Earl Boykins","ORL","PG",65,135,1,23,1,0,8,4,0,0,44.0,21.0,0.1,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Anthony Parker","ORL","SG",78,215,2,24,16,0,185,57,14,13,9.7,16.6,-0.1,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Anthony Johnson","ORL","PG",75,190,2,25,18,4,214,61,5,17,8.9,14.8,0.0,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Monty Williams","ORL","SF",80,225,5,28,75,23,1501,538,5,187,13.8,20.2,1.5,1.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Tariq Abdul-Wahad","ORL","SG",78,223,2,25,46,46,1205,515,21,116,14.4,23.3,0.4,1.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Chris Gatling","ORL","PF",82,220,8,32,45,0,1041,462,23,142,17.4,27.2,0.8,1.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Bo Outlaw","ORL","PF",80,210,6,28,82,55,2326,339,3,203,15.3,9.8,2.8,4.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Corey Maggette","ORL","SF",78,218,0,20,77,5,1370,469,11,169,14.1,22.1,1.2,1.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Kiwane Garris","ORL","SG",74,183,1,25,3,0,23,10,1,0,-3.9,20.1,-0.1,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Pat Garrity","ORL","SF",81,238,1,23,82,1,1479,585,197,197,11.9,20.4,1.4,1.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Ben Wallace","ORL","PF",81,240,3,25,81,81,1959,334,0,162,14.4,9.7,1.7,3.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Johnny Taylor","ORL","SF",81,220,2,25,5,0,29,12,1,4,9.9,20.3,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.4,101.7
"Brad Miller","CHH","C",83,244,1,23,55,4,961,293,2,111,18.9,19.9,2.4,1.4,4,0,"62",17,0,11,15.8,25.3,0.1,0.0,104.3,101.4
"Anthony Mason","CHH","SF",79,250,9,33,82,81,3133,661,1,220,14.4,14.4,4.9,3.9,4,4,"179",38,1,13,14.2,16.1,0.2,0.1,104.3,101.4
"Eldridge Recasner","CHH","PG",75,190,5,32,7,0,28,7,4,1,13.1,11.2,0.1,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,101.4
"Ricky Davis","CHH","SG",78,195,1,20,48,4,570,187,4,39,15.3,20.1,0.3,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,101.4
