"","X","X.1","Date","Name","Team","Started","B2B","MP","FGA","X3PA","PF","USG.","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
"1",1,1,19871106,"Kevin Willis","Atlanta Hawks",1,0,"35:00",0,3,0,101,99,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"2",2,2,19871106,"Terry Catledge","Washington Bullets",1,0,"24:00",0,4,0,110,119,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"3",3,3,19871106,"Jon Koncak","Atlanta Hawks",0,0,"26:00",0,5,0,128,81,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"4",4,4,19871106,"John Battle","Atlanta Hawks",0,0,"2:00",0,0,0,200,108,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"5",5,5,19871106,"Dominique Wilkins","Atlanta Hawks",1,0,"34:00",1,3,0,138,95,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"6",6,6,19871106,"Bernard King","Washington Bullets",1,0,"38:00",0,2,0,71,122,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"7",7,7,19871106,"Darrell Walker","Washington Bullets",0,0,"26:00",0,2,0,83,111,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"8",8,8,19871106,"Mark Alarie","Washington Bullets",0,0,"15:00",0,3,0,201,117,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"9",9,9,19871106,"Spud Webb","Atlanta Hawks",0,0,"13:00",0,5,0,131,105,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"10",10,10,19871106,"Antoine Carr","Atlanta Hawks",0,0,"11:00",0,3,0,82,103,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"11",11,11,19871106,"Jay Murphy","Washington Bullets",0,0,"10:00",0,1,0,0,115,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"12",12,12,19871106,"Mike McGee","Atlanta Hawks",0,0,"17:00",4,0,0,113,87,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"13",13,13,19871106,"Tree Rollins","Atlanta Hawks",1,0,"19:00",0,5,0,65,96,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"14",14,14,19871106,"Doc Rivers","Atlanta Hawks",1,0,"35:00",0,3,0,114,102,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"15",15,15,19871106,"Cliff Levingston","Atlanta Hawks",0,0,"18:00",0,3,0,106,101,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
