"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Cedric Henderson","CLE","SF",79,215,1,23,50,48,1517,453,12,136,9.9,19.0,-1.1,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Shawn Kemp","CLE","PF",82,230,9,29,42,42,1475,575,2,159,23.6,28.9,4.2,2.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Mitchell Butler","CLE","SG",77,210,5,28,31,1,418,139,29,41,12.6,21.2,0.1,0.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Corie Blount","CLE","PF",81,240,5,30,20,0,368,67,0,47,10.1,13.3,-0.2,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Bob Sura","CLE","PG",77,200,3,25,50,6,841,210,45,98,11.0,18.7,-0.7,1.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Earl Boykins","CLE","PG",65,135,0,22,17,0,170,58,13,17,6.5,20.7,-0.3,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Vitaly Potapenko","CLE","C",82,280,2,23,17,12,467,126,1,53,10.5,18.3,-0.2,0.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Zydrunas Ilgauskas","CLE","C",87,238,1,23,5,5,171,57,0,24,17.5,22.6,0.3,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Antonio Lang","CLE","PF",80,205,4,26,10,0,65,6,0,13,8.8,10.5,0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Ryan Stack","CLE","PF",83,215,0,23,18,0,199,37,0,31,9.7,13.4,0.2,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Brevin Knight","CLE","PG",70,173,1,23,39,38,1186,315,5,115,16.6,19.8,1.0,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Litterial Green","CLE","PG",73,185,4,28,1,0,2,1,0,0,-19.7,24.4,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Derek Anderson","CLE","SG",77,194,1,24,38,13,978,314,69,73,16.5,23.4,1.1,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Wesley Person","CLE","SG",78,195,4,27,45,42,1342,437,200,52,14.4,18.2,1.6,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Johnny Newman","CLE","SF",79,190,12,35,50,2,949,251,61,126,9.2,16.9,0.5,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Andrew DeClercq","CLE","C",82,230,3,25,33,31,844,219,0,110,15.8,17.3,1.5,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Danny Ferry","CLE","PF",82,230,8,32,50,10,1058,296,97,113,11.0,16.1,1.0,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.6,101.6
"Jeffrey Sheppard","ATL","SG",75,190,0,24,18,5,185,39,7,12,8.7,13.2,0.1,0.2,4,0,"12",3,0,0,8.5,12.2,0.0,0.0,100.5,97.1
"LaPhonso Ellis","ATL","PF",80,240,6,28,20,20,539,190,5,48,11.8,21.9,0.0,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.5,97.1
"Roshown McLeod","ATL","SF",80,221,0,23,34,0,348,163,10,24,11.3,27.8,-0.1,0.4,6,0,"49",21,0,3,22.0,23.7,0.2,0.0,100.5,97.1
"Tyrone Corbin","ATL","SF",78,210,13,36,47,6,1066,335,119,74,11.4,18.2,0.7,1.5,9,4,"268",72,23,20,10.4,14.9,0.1,0.2,100.5,97.1
"Alan Henderson","ATL","SF",81,235,3,26,38,37,1142,423,1,96,16.0,22.5,1.2,1.9,1,0,"4",0,0,1,-5.3,0.0,0.0,0.0,100.5,97.1
"Mookie Blaylock","ATL","PG",72,180,9,31,48,48,1763,651,251,61,16.7,21.5,1.5,3.2,9,9,"358",135,51,11,9.7,23.5,-0.7,0.4,100.5,97.1
"Steve Smith","ATL","SG",79,200,7,29,36,36,1314,540,139,100,17.9,26.4,2.7,1.7,9,9,"356",153,33,32,14.9,26.5,0.2,0.3,100.5,97.1
"Grant Long","ATL","PF",80,225,10,32,50,13,1380,359,18,143,15.6,18.3,2.3,2.6,9,9,"358",88,4,27,13.7,17.8,0.1,0.5,100.5,97.1
"Dikembe Mutombo","ATL","C",86,245,7,32,50,50,1829,338,0,145,18.8,14.3,3.7,4.2,9,9,"380",71,0,28,20.5,14.1,0.9,0.7,100.5,97.1
"Anthony Johnson","ATL","PG",75,190,1,24,49,2,885,225,19,67,10.6,17.3,-0.1,1.2,9,0,"111",29,2,9,5.4,16.9,-0.1,0.0,100.5,97.1
"Ed Gray","ATL","SG",75,210,1,23,30,3,337,182,42,30,4.8,31.7,-1.1,0.4,8,0,"71",41,11,11,24.1,33.0,0.2,0.1,100.5,97.1
"Shammond Williams","ATL","PG",73,201,0,23,2,0,4,1,0,0,33.8,32.5,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.5,97.1
"Chris Crawford","ATL","PF",81,235,1,23,42,30,784,255,33,106,10.1,20.0,0.5,0.9,6,5,"125",48,14,19,14.8,25.6,0.2,0.1,100.5,97.1
"Mark West","ATL","C",82,230,15,38,49,0,499,59,0,81,6.5,9.0,-0.1,0.8,9,0,"68",10,0,14,-1.4,12.8,-0.2,0.1,100.5,97.1
"Sean Marks","TOR","PF",82,250,0,23,8,0,28,8,0,3,7.8,19.2,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.0,103.9
"Kevin Willis","TOR","C",84,220,13,36,42,38,1216,447,2,134,15.6,22.4,1.1,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.0,103.9
"John Thomas","TOR","C",81,265,1,23,39,11,593,123,1,82,13.7,12.6,1.2,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.0,103.9
"Negele Knight","TOR","PG",73,175,5,31,6,0,56,8,1,5,2.4,13.6,-0.1,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.0,103.9
"William Cunningham","TOR","C",83,250,1,24,1,0,1,0,0,0,0.0,0.0,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102.0,103.9
