"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Steve Nash","PG",75,195,7,29,78,78,"2612",845,257,139,0,0,0,0,29,5,5,"197",70,16,14,0,0,0,0,"112.1","107.4"
"Antawn Jamison","SF",80,223,5,27,82,2,"2376",913,40,174,0,0,0,0,27,5,0,"109",57,8,15,0,0,0,0,"112.1","107.4"
"Eduardo Najera","SF",80,240,3,27,58,7,"720",162,4,90,0,0,0,0,27,5,0,"57",11,0,12,0,0,0,0,"112.1","107.4"
"Marquis Daniels","SG",78,200,0,23,56,15,"1039",411,36,51,0,0,0,0,23,5,5,"184",75,7,14,0,0,0,0,"112.1","107.4"
"Michael Finley","SG",79,215,8,30,72,72,"2778",1159,370,118,0,0,0,0,30,5,5,"196",68,26,8,0,0,0,0,"112.1","107.4"
"Dirk Nowitzki","C",84,237,5,25,77,77,"2915",1310,290,216,0,0,0,0,25,5,5,"212",100,15,16,0,0,0,0,"112.1","107.4"
"Scott Williams","C",82,230,13,35,27,11,"260",85,1,50,0,0,0,0,35,3,0,"11",4,0,3,0,0,0,0,"112.1","107.4"
"Danny Fortson","C",79,260,6,27,56,20,"625",139,0,148,0,0,0,0,"112.1","107.4"
"Tony Delk","SG",73,189,7,30,33,11,"509",184,66,46,0,0,0,0,30,1,0,"5",0,0,0,0,0,0,0,"112.1","107.4"
"Antoine Walker","PF",80,224,7,27,82,82,"2840",1129,305,212,0,0,0,0,27,5,5,"140",61,10,13,0,0,0,0,"112.1","107.4"
"Mamadou N'Diaye","C",84,255,3,28,3,0,"7",1,0,1,0,0,0,0,"112.1","107.4"
"Shawn Bradley","C",90,235,10,31,66,5,"773",188,1,130,0,0,0,0,31,2,0,"3",0,0,1,0,0,0,0,"112.1","107.4"
"Josh Howard","SF",79,210,0,23,67,29,"1589",532,66,168,0,0,0,0,23,5,0,"86",36,5,12,0,0,0,0,"112.1","107.4"
"Travis Best","PG",71,182,8,31,61,1,"762",172,20,66,0,0,0,0,"112.1","107.4"
"Brian Cook","C",81,234,0,23,35,2,"442",141,5,64,0,0,0,0,23,13,0,"46",15,0,7,0,0,0,0,"105.5","101.3"
"Maurice Carter","SG",77,210,0,27,4,0,"50",14,3,5,0,0,0,0,"105.5","101.3"
"Jamal Sampson","C",83,235,1,20,10,2,"130",23,0,16,0,0,0,0,"105.5","101.3"
"Rick Fox","SF",79,230,12,34,38,34,"846",186,61,99,0,0,0,0,34,16,3,"145",20,7,21,0,0,0,0,"105.5","101.3"
