"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Jay Vincent","SF",79,220,5,27,51,17,"1386",613,3,127,0,0,0,0,27,3,0,"72",30,0,10,0,0,0,0,"105.7","107.0"
"Terry Catledge","PF",80,220,1,23,78,77,"2149",835,4,195,0,0,0,0,23,3,3,"98",41,0,5,0,0,0,0,"105.7","107.0"
"Frank Johnson","PG",73,185,5,28,18,10,"399",128,1,31,0,0,0,0,28,3,0,"28",7,0,3,0,0,0,0,"105.7","107.0"
"Jeff Malone","SG",76,205,3,25,80,79,"2763",1509,26,154,0,0,0,0,25,3,3,"105",46,0,8,0,0,0,0,"105.7","107.0"
"Manute Bol","C",91,200,1,24,82,12,"1552",231,1,189,0,0,0,0,24,3,0,"43",10,1,6,0,0,0,0,"105.7","107.0"
"Dan Roundfield","PF",80,205,11,33,36,0,"669",220,5,77,0,0,0,0,"105.7","107.0"
"Darwin Cook","SG",75,184,6,28,82,2,"1420",622,23,136,0,0,0,0,28,3,0,"41",24,2,4,0,0,0,0,"105.7","107.0"
"Michael Adams","PG",70,162,1,24,63,0,"1303",393,102,88,0,0,0,0,24,3,1,"82",25,9,6,0,0,0,0,"105.7","107.0"
"Moses Malone","C",82,215,12,31,73,70,"2488",1311,11,139,0,0,0,0,31,3,3,"114",47,0,5,0,0,0,0,"105.7","107.0"
"Ennis Whatley","PG",75,177,3,24,73,72,"1816",515,2,172,0,0,0,0,24,2,2,"32",12,0,2,0,0,0,0,"105.7","107.0"
"John Williams","SF",80,235,0,20,78,6,"1773",624,36,173,0,0,0,0,20,3,0,"49",14,1,3,0,0,0,0,"105.7","107.0"
"Anthony Jones","SG",78,195,0,24,16,1,"114",33,1,11,0,0,0,0,"105.7","107.0"
"Jay Murphy","PF",81,220,2,24,21,0,"141",72,0,21,0,0,0,0,"105.7","107.0"
"Charles Jones","PF",81,215,3,29,79,64,"1609",249,1,252,0,0,0,0,29,3,3,"56",5,0,9,0,0,0,0,"105.7","107.0"
"Mike O'Koren","SF",79,207,6,28,15,0,"123",42,2,10,0,0,0,0,"105.7","107.0"
"Scott Wedman","SF",79,215,12,34,6,2,"78",27,2,6,0,0,0,0,"113.5","106.8"
