"Date","Name","Team","Started","B2B","MP","FGA","ThreePA","PF","USG%","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
20091027,"J.J. Hickson","Cleveland Cavaliers",0,0,"6:13",1,0,2,8.0,0.0,97.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",100.4,107.2
20091027,"Paul Pierce","Boston Celtics",0,0,"37:59",13,5,5,25.2,125.0,99.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
20091027,"Anthony Parker","Cleveland Cavaliers",0,0,"40:10",9,3,0,15.9,87.0,109.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",100.4,107.2
20091027,"Eddie House","Boston Celtics",0,0,"12:30",3,3,1,15.8,92.0,103.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
20091027,"LeBron James","Cleveland Cavaliers",0,0,"44:55",22,9,4,36.0,121.0,103.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",100.4,107.2
20091027,"Mo Williams","Cleveland Cavaliers",0,0,"35:02",8,3,4,17.8,106.0,114.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",100.4,107.2
20091027,"Jamario Moon","Cleveland Cavaliers",0,0,"13:41",3,1,1,14.5,48.0,108.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",100.4,107.2
20091027,"Marquis Daniels","Boston Celtics",0,0,"17:33",5,1,1,16.8,118.0,103.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
20091027,"Kevin Garnett","Boston Celtics",0,0,"33:05",10,0,3,19.0,116.0,95.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
20091027,"Ray Allen","Boston Celtics",0,0,"42:21",16,4,2,24.7,84.0,102.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
20091027,"Daniel Gibson","Cleveland Cavaliers",0,0,"13:42",3,1,2,16.0,43.0,115.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",100.4,107.2
20091027,"Anderson Varejao","Cleveland Cavaliers",0,0,"32:50",9,0,5,16.2,111.0,106.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",100.4,107.2
20091027,"Shelden Williams","Boston Celtics",0,0,"12:30",1,0,3,14.8,115.0,105.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
20091027,"Kendrick Perkins","Boston Celtics",0,0,"25:42",7,0,3,20.0,84.0,107.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
20091027,"Shaquille O'Neal","Cleveland Cavaliers",0,0,"28:48",11,0,2,22.1,77.0,105.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",100.4,107.2
20091027,"Rajon Rondo","Boston Celtics",0,0,"34:29",8,0,4,14.3,120.0,98.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
20091027,"Rasheed Wallace","Boston Celtics",0,0,"23:50",9,6,5,20.4,117.0,101.0,"Cleveland Cavaliers","Boston Celtics","Boston Celtics",107.2,100.4
