"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Steve Kerr","CHI","PG",75,175,8,31,82,0,1861,467,237,98,15.6,12.9,5.4,2.0,19,0,"341",77,42,25,11.8,12.5,0.5,0.5,114.4,102.4
"Bison Dele","CHI","C",81,235,5,27,9,0,138,63,0,20,13.7,26.1,0.0,0.2,19,0,"336",104,0,63,13.8,18.3,0.2,0.7,114.4,102.4
"Ron Harper","CHI","SG",78,185,10,33,76,74,1740,406,188,138,13.6,12.6,3.0,2.7,19,19,"515",125,61,43,15.7,13.4,1.0,1.0,114.4,102.4
"Toni Kukoc","CHI","SF",82,192,3,28,57,15,1610,605,151,97,20.2,21.4,4.5,2.3,19,0,"423",125,53,30,14.6,18.5,0.7,0.6,114.4,102.4
"Bill Wennington","CHI","C",84,245,9,33,61,19,783,237,2,132,11.2,16.6,1.1,0.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",114.4,102.4
"Dickey Simpkins","CHI","PF",81,248,2,24,48,0,395,93,4,44,6.5,16.4,-0.5,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",114.4,102.4
"Jud Buechler","CHI","SF",78,220,6,28,76,0,703,158,54,50,9.8,12.1,0.1,1.1,18,0,"138",31,12,15,10.5,11.6,0.2,0.2,114.4,102.4
"Dennis Rodman","CHI","PF",79,210,10,35,55,54,1947,286,19,172,13.9,10.0,2.0,4.0,19,14,"535",81,16,74,7.9,10.5,-0.1,1.0,114.4,102.4
"Scottie Pippen","CHI","SF",80,210,9,31,82,82,3095,1366,424,213,21.3,24.6,7.8,5.2,19,19,"753",309,113,49,18.1,24.9,0.9,1.4,114.4,102.4
"Michael Jordan","CHI","SG",78,195,11,33,82,82,3106,1892,297,156,27.8,33.2,13.3,5.0,19,19,"804",498,67,46,27.1,35.5,2.5,1.5,114.4,102.4
"Randy Brown","CHI","PG",74,190,5,28,72,3,1057,333,22,116,13.0,18.1,0.4,2.0,17,0,"98",30,0,22,4.4,17.2,-0.2,0.2,114.4,102.4
"Matt Steigenga","CHI","SF",79,225,0,26,2,0,12,4,2,1,7.0,25.6,-0.1,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",114.4,102.4
"Robert Parish","CHI","C",84,230,20,43,43,3,406,143,0,40,14.3,20.3,0.3,0.6,2,0,"18",7,0,2,2.6,18.2,-0.1,0.0,114.4,102.4
"Luc Longley","CHI","C",86,265,5,28,59,59,1472,485,2,191,13.4,19.7,0.9,2.3,19,19,"432",104,0,65,12.3,15.5,0.2,0.7,114.4,102.4
"Jason Caffey","CHI","PF",80,255,1,23,75,19,1405,385,1,149,14.3,18.3,2.2,1.7,17,5,"167",33,0,27,12.5,14.3,0.2,0.2,114.4,102.4
"Steve Hamer","BOS","C",84,245,0,23,35,3,268,57,2,39,8.9,13.3,0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
"David Wesley","BOS","PG",72,190,3,26,74,73,2991,974,286,221,16.5,18.8,5.0,1.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
"Dino Radja","BOS","C",83,225,3,29,25,25,874,339,1,76,12.6,21.6,-0.9,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
"Alton Lister","BOS","C",84,240,14,38,53,2,516,77,0,95,7.8,10.0,0.0,0.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
"Frank Brickowski","BOS","PF",81,240,11,37,17,2,255,73,20,42,6.9,16.5,-0.2,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
"Dana Barros","BOS","PG",71,163,7,29,24,8,708,253,105,34,14.0,18.8,0.9,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
"Nate Driggers","BOS","SG",77,215,0,23,15,0,132,43,9,10,6.8,17.9,-0.2,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
"Eric Williams","BOS","SG",80,220,1,24,72,67,2435,820,8,213,13.3,20.3,2.5,0.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
"Brett Szabo","BOS","C",83,230,0,28,70,24,662,121,1,119,8.8,12.2,0.0,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.9,111.4
