"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Dikembe Mutombo","C",86,245,13,38,80,2,"1212",217,0,135,0,0,0,0,38,7,0,"101",11,0,15,0,0,0,0,"106.2","101.7"
"Bob Sura","PG",77,200,9,31,61,59,"1922",504,155,168,0,0,0,0,31,7,7,"182",46,13,15,0,0,0,0,"106.2","101.7"
"Jim Jackson","SF",78,220,12,34,24,24,"990",283,147,67,0,0,0,0,"106.2","101.7"
"Yao Ming","C",90,310,2,24,80,80,"2447",975,0,298,0,0,0,0,24,7,7,"220",84,0,31,0,0,0,0,"106.2","101.7"
"Tracy McGrady","SF",80,210,7,25,78,78,"3182",1660,435,167,0,0,0,0,25,7,7,"301",171,46,20,0,0,0,0,"106.2","101.7"
"David Wesley","SG",72,190,11,34,54,53,"1840",498,235,150,0,0,0,0,34,7,7,"280",54,21,20,0,0,0,0,"106.2","101.7"
"Scott Padgett","PF",81,240,5,28,66,0,"942",233,126,119,0,0,0,0,28,7,4,"109",24,12,18,0,0,0,0,"106.2","101.7"
"Mike James","PG",74,188,3,29,27,5,"692",291,107,60,0,0,0,0,29,7,0,"171",62,9,17,0,0,0,0,"106.2","101.7"
"Clarence Weatherspoon","PF",78,240,12,34,40,18,"525",114,0,74,0,0,0,0,34,1,0,"1",0,0,1,0,0,0,0,"106.2","101.7"
"Moochie Norris","PG",73,175,7,31,6,0,"39",16,0,2,0,0,0,0,31,2,0,"7",1,0,0,0,0,0,0,"106.2","101.7"
"Ryan Bowen","SF",79,215,5,29,66,6,"604",111,6,61,0,0,0,0,29,7,3,"125",25,0,23,0,0,0,0,"106.2","101.7"
"Vin Baker","C",83,232,11,33,3,0,"13",4,0,7,0,0,0,0,"106.2","101.7"
"Torraye Braggs","PF",80,245,1,28,7,0,"24",7,0,4,0,0,0,0,"106.2","101.7"
"Jon Barry","SG",76,195,12,35,53,2,"1230",291,133,67,0,0,0,0,35,7,0,"183",48,23,13,0,0,0,0,"106.2","101.7"
"Maurice Taylor","PF",81,260,6,28,38,16,"905",292,8,123,0,0,0,0,"106.2","101.7"
"Reece Gaines","PG",78,205,1,24,10,0,"108",27,12,12,0,0,0,0,"106.2","101.7"
"Darko Milicic","C",84,250,1,19,37,2,"254",76,0,31,0,0,0,0,19,9,0,"21",7,0,3,0,0,0,0,"105.6","101.2"
