"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Bradley Beal","WAS","SG",77,207,0,19,56,46,1745,687,236,113,13.6,22.2,1.0,2.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Jordan Crawford","WAS","SG",76,195,2,24,43,12,1127,508,171,61,14.7,26.4,0.2,1.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Trevor Booker","WAS","PF",79,240,2,25,48,14,887,220,5,95,13.9,14.5,0.9,1.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"A.J. Price","WAS","PG",74,181,3,26,57,22,1278,413,200,73,12.4,18.0,1.0,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Jason Collins","WAS","C",84,255,11,34,6,2,54,6,0,11,2.9,7.5,-0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Emeka Okafor","WAS","C",82,252,8,30,79,77,2052,687,0,145,15.8,19.5,0.7,3.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Shelvin Mack","WAS","PG",75,215,1,22,7,2,141,40,13,10,10.4,15.8,0.0,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Jan Vesely","WAS","PF",83,240,1,22,51,4,601,114,1,107,7.6,12.0,-0.1,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Chris Singleton","WAS","PF",80,230,1,23,57,11,924,241,36,124,7.8,15.7,-1.0,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Earl Barron","WAS","C",84,245,6,31,11,1,122,37,0,23,6.9,18.4,-0.3,0.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Garrett Temple","WAS","SG",78,190,2,26,51,36,1156,258,80,94,8.8,13.2,-0.3,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Cartier Martin","WAS","SF",79,220,4,28,41,3,694,252,146,58,9.7,19.5,-0.2,0.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Jannero Pargo","WAS","PG",73,175,8,33,7,0,102,32,20,8,0.2,18.3,-0.3,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Trevor Ariza","WAS","SF",80,200,8,27,56,15,1471,451,209,72,14.0,17.9,0.7,2.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"John Wall","WAS","PG",76,195,2,22,49,42,1602,735,45,117,20.8,29.3,2.2,2.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Kevin Seraphin","WAS","C",81,264,2,23,79,8,1721,716,0,211,10.3,23.5,-2.1,2.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Shaun Livingston","WAS","PG",79,182,7,27,17,4,320,66,3,22,7.4,12.8,-0.2,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Nene Hilario","WAS","PF",83,260,10,30,61,49,1659,594,1,171,17.0,23.4,1.3,2.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Martell Webster","WAS","SF",79,210,7,26,76,62,2200,636,329,166,13.9,16.9,3.9,2.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",100.2,103.0
"Tristan Thompson","CLE","PF",80,225,1,21,82,82,2564,799,3,234,16.1,18.3,3.2,2.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,109.4
"Daniel Gibson","CLE","PG",74,190,6,26,46,3,919,247,163,89,7.7,14.3,0.3,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,109.4
"Anderson Varejao","CLE","C",82,230,8,30,25,25,901,289,5,68,21.7,18.7,2.2,1.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,109.4
