"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Corliss Williamson","SAC","SF",79,245,10,32,37,0,362,103,2,56,8.1,19.6,-0.2,0.4,3,0,"11",5,0,3,16.1,27.0,0.0,0.0,106.7,105.0
"Francisco Garcia","SAC","SF",79,195,0,24,67,11,1301,325,137,135,10.3,15.7,0.0,1.6,6,0,"41",11,4,5,13.7,13.6,0.1,0.0,106.7,105.0
"Mike Bibby","SAC","PG",73,190,7,27,82,82,3167,1382,497,169,17.9,25.4,6.0,2.4,6,6,"255",92,26,17,12.3,22.7,0.0,-0.1,106.7,105.0
"Metta World Peace","SAC","SF",78,244,6,26,40,40,1604,630,199,119,14.1,22.8,0.1,2.1,5,5,"198",81,27,15,16.3,22.8,0.2,0.0,106.7,105.0
"Brad Miller","SAC","C",83,244,7,29,79,79,2923,877,88,234,17.5,18.9,5.5,3.6,6,6,"166",52,7,20,12.6,18.3,0.1,0.0,106.7,105.0
"Ronnie Price","SAC","PG",74,190,0,22,29,0,150,58,27,10,10.5,22.4,-0.1,0.1,4,0,"9",3,0,1,-12.5,15.7,-0.1,0.0,106.7,105.0
"Bonzi Wells","SAC","SG",77,210,7,29,52,41,1684,613,45,156,16.6,22.4,0.7,2.7,6,6,"249",87,8,25,24.1,23.4,0.8,0.0,106.7,105.0
"Sergei Monia","SAC","SF",80,220,0,22,3,0,7,2,1,0,12.1,18.9,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",106.7,105.0
"Vitaly Potapenko","SAC","C",82,280,9,30,9,0,32,7,0,6,8.2,12.9,0.0,0.0,4,0,"9",4,0,2,19.1,20.9,0.0,0.0,106.7,105.0
"Peja Stojakovic","SAC","SF",81,220,7,28,31,31,1147,424,179,82,13.6,20.8,1.4,0.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",106.7,105.0
"Jamal Sampson","SAC","PF",83,235,3,22,12,0,39,7,0,5,24.4,9.3,0.2,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",106.7,105.0
"Shareef Abdur-Rahim","SAC","PF",81,225,9,29,72,30,1961,632,22,227,17.2,20.1,4.0,2.2,6,0,"129",43,3,27,11.3,22.8,0.0,0.0,106.7,105.0
"Kevin Martin","SAC","SG",79,185,1,22,72,41,1913,546,179,138,14.8,17.4,3.6,1.9,6,1,"197",54,19,11,17.0,16.4,0.6,-0.1,106.7,105.0
"Brian Skinner","SAC","PF",81,255,7,29,38,0,429,69,0,54,10.8,10.6,0.2,0.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",106.7,105.0
"Kenny Thomas","SAC","PF",79,261,6,28,82,55,2293,604,1,196,15.0,16.6,2.2,3.3,6,6,"148",24,0,22,10.5,12.3,0.1,-0.1,106.7,105.0
"Jason Hart","SAC","PG",75,185,4,27,66,0,818,221,31,85,7.1,16.2,-0.7,0.8,5,0,"52",13,0,8,1.2,16.2,-0.1,0.0,106.7,105.0
"Chris Paul","NOK","PG",72,175,0,20,78,78,2808,947,177,218,22.1,22.2,6.8,3.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
"Chris Andersen","NOK","C",82,230,4,27,32,2,570,98,0,84,14.1,13.9,0.6,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
"Maciej Lampe","NOK","C",83,275,2,20,2,0,16,4,0,2,-6.1,14.6,-0.1,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
"Arvydas Macijauskas","NOK","SG",76,214,0,26,19,0,135,41,12,10,8.3,19.2,-0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
"Desmond Mason","NOK","SF",79,224,5,28,70,55,2102,690,6,136,9.2,20.8,-1.7,1.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
"Brandon Bass","NOK","PF",80,240,0,20,29,1,268,70,0,18,9.1,15.6,-0.2,0.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
"Rasual Butler","NOK","SF",79,205,3,26,79,20,1875,633,242,142,10.8,18.6,0.4,1.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
"Kirk Snyder","NOK","SG",78,225,1,22,68,45,1310,453,129,106,14.6,20.5,1.4,0.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
"Jackson Vroman","NOK","PF",82,220,1,24,41,2,406,66,0,78,5.9,12.2,-0.3,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.7,106.8
