"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Raja Bell","PHO","SG",77,204,6,30,78,78,2917,950,496,233,12.0,17.0,4.2,1.6,11,11,"438",87,45,40,8.4,11.1,0.4,0.2,113.9,106.4
"Eric Piatkowski","PHO","SG",79,215,12,36,11,0,73,25,18,6,7.7,19.0,0.0,0.0,1,0,"3",1,0,0,29.3,15.0,0.0,0.0,113.9,106.4
"Shawn Marion","PHO","SF",79,220,7,28,80,80,3010,1071,252,216,20.8,19.3,6.7,5.3,11,11,"455",152,34,27,18.5,17.7,0.8,0.7,113.9,106.4
"Jalen Rose","PHO","SF",80,210,12,34,29,0,246,86,47,22,13.4,18.3,0.4,0.2,1,0,"9",4,1,2,2.0,20.1,0.0,0.0,113.9,106.4
"Jumaine Jones","PHO","SF",80,218,7,27,18,0,138,51,32,19,3.2,19.2,-0.3,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",113.9,106.4
"Leandro Barbosa","PHO","SG",75,176,3,24,80,18,2613,1111,438,210,18.4,23.4,6.1,2.1,11,1,"349",158,59,30,13.0,25.5,0.0,0.3,113.9,106.4
"Kurt Thomas","PHO","C",81,230,11,34,67,13,1208,259,1,156,11.4,12.1,1.2,1.7,11,5,"212",65,0,25,17.3,17.3,0.4,0.3,113.9,106.4
"Boris Diaw","PHO","PF",80,215,3,24,73,59,2268,569,45,177,13.0,15.4,3.0,1.5,10,0,"235",59,6,18,11.4,15.9,0.1,0.2,113.9,106.4
"Sean Marks","PHO","PF",82,250,6,31,3,0,17,6,1,4,6.7,18.2,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",113.9,106.4
"Pat Burke","PHO","C",83,250,2,33,23,0,164,65,22,19,9.3,21.3,-0.1,0.2,3,0,"7",2,0,3,6.8,12.9,0.0,0.0,113.9,106.4
"Marcus Banks","PHO","PG",74,200,3,25,45,1,503,196,29,70,11.3,23.5,-0.1,0.4,2,0,"7",2,1,0,7.4,18.6,0.0,0.0,113.9,106.4
"James Jones","PHO","SF",80,225,3,26,76,7,1376,440,238,115,10.8,16.5,1.0,1.2,11,6,"171",36,18,11,11.6,11.8,0.3,0.1,113.9,106.4
"Amar'e Stoudemire","PHO","C",82,245,4,24,82,78,2689,1055,3,295,23.1,25.8,7.2,4.0,10,10,"343",174,3,39,29.6,30.7,1.3,0.7,113.9,106.4
"Steve Nash","PHO","PG",75,195,10,32,76,76,2682,971,343,117,23.8,22.9,10.8,1.7,11,11,"413",160,39,21,21.9,24.9,1.3,0.1,113.9,106.4
"Andrew Bynum","LAL","C",84,285,1,19,82,53,1793,443,3,249,15.4,16.3,2.3,1.9,5,0,"55",15,0,7,16.9,16.9,0.1,0.0,108.6,108.6
"Brian Cook","LAL","PF",81,234,3,26,65,24,1018,408,115,134,14.8,21.2,0.9,0.8,5,0,"51",18,7,13,4.5,18.1,0.0,0.0,108.6,108.6
"Aaron McKie","LAL","SF",77,209,12,34,10,0,131,17,0,14,7.5,8.6,0.0,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",108.6,108.6
"Vladimir Radmanovic","LAL","PF",82,227,5,26,55,15,986,316,118,125,11.0,19.0,0.1,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",108.6,108.6
"Shammond Williams","LAL","PG",73,201,6,31,30,0,345,86,50,20,10.8,13.2,0.3,0.2,4,0,"80",20,8,6,6.8,11.9,0.0,-0.1,108.6,108.6
"Kobe Bryant","LAL","SG",78,200,10,28,77,77,3140,1757,398,205,26.1,33.6,10.8,2.2,5,5,"215",130,28,10,24.1,33.9,0.6,-0.1,108.6,108.6
"Maurice Evans","LAL","SG",77,220,3,28,76,10,1732,542,133,126,12.1,17.3,2.0,0.6,5,0,"82",26,13,4,11.0,13.7,0.1,0.0,108.6,108.6
"Smush Parker","LAL","PG",76,190,3,25,82,80,2457,785,301,211,11.6,18.6,0.7,1.6,5,0,"59",13,6,8,3.5,13.1,-0.1,0.0,108.6,108.6
"Luke Walton","LAL","SF",80,235,3,26,60,60,1982,557,124,117,14.7,16.8,2.6,1.2,5,5,"128",36,12,13,9.4,17.9,-0.1,0.0,108.6,108.6
"Lamar Odom","LAL","PF",82,220,7,27,56,56,2202,681,182,182,16.1,19.8,2.6,2.1,5,5,"192",85,11,17,20.6,23.8,0.4,0.0,108.6,108.6
"Jordan Farmar","LAL","PG",74,180,0,20,72,2,1090,294,137,77,10.8,15.8,0.2,0.7,5,5,"114",28,10,9,11.6,13.7,0.1,0.0,108.6,108.6
"Kwame Brown","LAL","C",83,270,5,24,41,28,1132,242,1,124,13.7,15.0,0.7,1.2,5,5,"133",36,0,16,11.2,16.0,0.1,0.0,108.6,108.6
"Sasha Vujacic","LAL","SG",79,193,2,22,73,4,935,268,161,103,11.7,15.4,1.2,0.6,4,0,"43",9,4,4,9.3,12.1,0.0,0.0,108.6,108.6
"Ronny Turiaf","LAL","C",82,249,1,24,72,1,1087,268,1,202,15.5,15.7,1.9,1.1,4,0,"48",14,0,8,14.8,17.5,0.1,0.0,108.6,108.6
"Malik Allen","CHI","PF",82,255,5,28,60,1,638,258,1,85,10.4,20.5,-0.2,1.1,5,0,"34",12,0,7,-5.7,20.4,-0.2,0.0,104.9,99.6
"Adrian Griffin","CHI","SF",77,217,7,32,54,1,585,129,6,78,10.7,13.3,0.1,1.2,4,0,"9",6,0,1,-19.0,30.8,-0.1,0.0,104.9,99.6
"Andre Barrett","CHI","PG",70,172,2,24,6,0,29,8,0,4,8.2,18.4,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.9,99.6
"Luol Deng","CHI","SF",81,220,2,21,82,82,3071,1218,7,167,18.7,22.2,5.7,5.6,10,10,"410",168,1,22,21.7,24.4,1.1,0.5,104.9,99.6
"Mike Sweetney","CHI","C",80,275,3,24,48,0,385,134,0,79,10.9,23.7,-0.4,0.8,1,0,"3",2,0,1,-4.2,44.4,0.0,0.0,104.9,99.6
"Ben Wallace","CHI","C",81,240,10,32,77,77,2697,424,5,153,14.6,10.6,1.6,6.6,10,10,"369",53,1,19,16.1,10.9,0.5,0.7,104.9,99.6
"Ben Gordon","CHI","SG",75,200,2,23,82,51,2704,1338,375,252,18.2,29.3,4.7,3.9,10,10,"395",147,55,34,16.0,24.4,0.7,0.4,104.9,99.6
"Kirk Hinrich","CHI","PG",75,190,3,26,80,80,2839,1061,337,274,17.0,21.6,5.5,4.6,10,10,"362",117,43,37,13.1,19.3,0.3,0.4,104.9,99.6
"P.J. Brown","CHI","PF",83,225,13,37,72,49,1456,418,2,187,9.7,17.0,-0.4,2.7,10,10,"228",67,0,29,15.2,17.3,0.4,0.3,104.9,99.6
"Andres Nocioni","CHI","PF",79,225,2,27,53,31,1406,584,209,164,15.6,23.8,1.4,2.6,10,0,"197",86,39,25,9.2,25.1,-0.2,0.3,104.9,99.6
"Thabo Sefolosha","CHI","SG",77,215,0,22,71,4,868,256,42,100,8.5,17.2,-0.8,1.7,9,0,"99",26,8,11,7.9,17.9,-0.1,0.1,104.9,99.6
"Tyrus Thomas","CHI","PF",81,215,0,20,72,4,966,282,2,162,14.8,20.9,-0.4,2.6,10,0,"122",41,0,23,13.7,26.2,-0.2,0.3,104.9,99.6
"Viktor Khryapa","CHI","PF",81,210,2,24,33,0,231,70,6,53,9.5,18.8,-0.1,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.9,99.6
"Chris Duhon","CHI","PG",73,185,2,24,78,30,1906,483,245,150,11.9,14.8,1.9,3.0,9,0,"172",31,19,12,7.5,11.4,0.0,0.1,104.9,99.6
"Alonzo Mourning","MIA","C",82,240,13,36,77,43,1572,425,0,219,16.7,20.8,1.0,2.5,4,0,"55",11,0,6,20.0,15.2,0.2,0.0,104.3,105.3
"Robert Hite","MIA","SG",74,184,0,23,12,0,136,60,23,8,7.4,24.8,-0.3,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,105.3
"Wayne Simien","MIA","PF",81,255,1,23,8,0,93,23,0,13,6.3,14.8,0.0,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,105.3
"Shaquille O'Neal","MIA","C",85,325,14,34,40,39,1135,479,0,139,21.7,29.4,1.4,1.5,4,4,"121",59,0,15,19.9,33.2,-0.1,0.1,104.3,105.3
"Gary Payton","MIA","PG",76,180,16,38,68,28,1503,366,123,117,9.0,14.4,0.1,1.2,2,0,"32",3,1,3,-7.3,10.3,-0.2,0.0,104.3,105.3
"Michael Doleac","MIA","C",83,262,8,29,56,0,698,175,1,96,11.0,15.1,0.3,0.9,1,0,"1",0,0,0,0.0,0.0,0.0,0.0,104.3,105.3
"Antoine Walker","MIA","PF",80,224,10,30,78,15,1818,668,305,173,9.6,22.3,-2.3,2.0,4,0,"92",37,16,11,15.9,23.6,0.2,0.0,104.3,105.3
"Jason Kapono","MIA","SF",80,213,3,25,67,35,1767,563,210,135,13.8,17.9,2.9,1.3,4,1,"77",17,4,9,8.0,11.6,0.1,0.0,104.3,105.3
"Dwyane Wade","MIA","SG",76,212,3,25,51,50,1931,962,79,117,28.9,34.7,5.9,2.9,4,4,"162",84,5,13,15.2,35.3,-0.3,0.1,104.3,105.3
"Udonis Haslem","MIA","PF",80,230,3,26,79,79,2483,717,4,236,13.7,17.5,2.0,3.1,4,4,"103",25,0,14,11.3,14.0,0.1,0.0,104.3,105.3
"Dorell Wright","MIA","SF",79,200,2,21,66,19,1292,364,34,112,12.7,17.1,-0.1,2.0,1,0,"1",0,0,0,0.0,0.0,0.0,0.0,104.3,105.3
"Eddie Jones","MIA","SG",78,190,12,35,35,27,1033,271,148,70,14.3,14.4,1.7,1.3,3,2,"66",9,6,7,5.9,9.1,0.0,0.0,104.3,105.3
"Earl Barron","MIA","C",84,245,1,25,28,0,203,83,1,21,6.6,23.8,-0.5,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,105.3
"Jason Williams","MIA","PG",73,190,8,31,61,55,1865,569,295,68,15.0,18.2,2.8,1.5,4,4,"112",28,17,5,8.3,14.0,-0.1,0.1,104.3,105.3
"Chris Quinn","MIA","PG",74,185,0,23,42,1,408,131,57,32,12.3,19.6,0.3,0.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.3,105.3
"James Posey","MIA","SF",80,215,7,30,71,19,1919,432,259,193,12.7,13.1,2.6,2.6,4,1,"139",26,19,18,11.5,11.3,0.0,0.2,104.3,105.3
"Chris Paul","NOK","PG",72,175,1,21,64,64,2353,871,143,154,22.0,23.1,6.2,2.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Peja Stojakovic","NOK","SF",81,220,8,29,13,13,425,196,84,29,15.8,24.9,0.6,0.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Tyson Chandler","NOK","C",85,235,5,24,73,73,2525,468,1,244,17.0,12.3,4.1,3.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Desmond Mason","NOK","SF",79,224,6,29,75,75,2575,900,0,174,10.8,21.9,-1.2,1.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Cedric Simmons","NOK","PF",81,235,0,21,43,4,534,132,0,75,8.0,14.4,-0.3,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Brandon Bass","NOK","PF",80,240,1,21,21,3,162,44,1,16,7.2,17.2,-0.2,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Bobby Jackson","NOK","SG",73,185,9,33,56,2,1330,518,165,98,15.1,23.0,1.2,1.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Hilton Armstrong","NOK","C",83,235,0,22,56,5,634,125,0,79,12.2,13.6,0.5,0.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"David West","NOK","PF",81,240,3,26,52,52,1900,792,25,143,18.9,23.8,3.1,2.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Marcus Vinicius","NOK","SF",80,225,0,22,13,0,103,15,7,10,6.9,10.7,0.0,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Rasual Butler","NOK","SF",79,205,4,27,81,38,2223,788,363,148,10.8,18.3,0.8,1.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Linton Johnson","NOK","PF",80,205,3,26,54,0,720,190,30,101,14.0,14.8,0.8,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Marc Jackson","NOK","PF",82,270,6,32,56,25,1025,388,1,89,11.9,22.2,-0.2,0.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Jannero Pargo","NOK","PG",73,175,4,27,82,7,1710,692,209,121,13.4,23.1,0.6,1.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Devin Brown","NOK","SG",77,220,4,28,58,49,1662,555,227,139,14.3,19.6,2.1,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",104.8,106.5
"Kendrick Perkins","BOS","C",82,280,3,22,72,53,1576,269,3,214,9.5,12.2,-0.6,1.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Kevinn Pinkney","BOS","PF",82,245,0,23,6,0,100,27,2,12,11.6,15.8,0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Al Jefferson","BOS","C",82,265,2,22,69,60,2319,882,1,232,19.8,22.4,3.3,3.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Allan Ray","BOS","SG",74,190,0,22,47,5,710,259,116,85,10.0,20.8,0.1,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Theo Ratliff","BOS","C",82,225,11,33,2,2,44,3,0,6,6.7,5.9,0.0,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Rajon Rondo","BOS","PG",73,171,0,20,78,25,1831,450,29,181,13.1,16.5,-0.1,2.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Gerald Green","BOS","SF",80,200,1,21,81,26,1780,739,258,198,12.0,23.7,0.4,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Wally Szczerbiak","BOS","SF",79,244,7,29,32,19,900,388,106,65,14.8,25.0,1.0,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Michael Olowokandi","BOS","C",84,269,8,31,24,0,234,46,0,48,4.5,12.5,-0.4,0.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Tony Allen","BOS","SG",76,213,2,25,33,18,805,259,33,87,17.0,22.1,0.8,1.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
"Sebastian Telfair","BOS","PG",72,165,2,21,78,30,1578,474,128,166,8.6,17.8,-0.5,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",103.2,106.9
