"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Reggie Miller","SG",79,185,6,28,79,79,"2638",1042,292,193,0,0,0,0,28,16,16,"576",270,83,34,0,0,0,0,"107.8","104.2"
"Vern Fleming","PG",77,185,9,31,55,5,"1053",318,4,98,0,0,0,0,31,16,1,"247",76,5,27,0,0,0,0,"107.8","104.2"
"Scott Haskin","C",83,250,0,23,27,2,"186",45,0,33,0,0,0,0,"107.8","104.2"
"Gerald Paddio","SF",79,205,2,28,7,1,"55",23,0,2,0,0,0,0,"107.8","104.2"
"Lester Conner","PG",76,180,10,34,11,0,"169",38,3,12,0,0,0,0,34,6,0,"22",5,0,2,0,0,0,0,"107.8","104.2"
"Malik Sealy","SF",80,190,1,23,43,5,"623",274,16,84,0,0,0,0,"107.8","104.2"
"LaSalle Thompson","C",82,245,11,32,30,1,"282",77,0,59,0,0,0,0,32,7,0,"39",11,0,9,0,0,0,0,"107.8","104.2"
"Pooh Richardson","PG",73,180,4,27,37,25,"1022",354,12,78,0,0,0,0,"107.8","104.2"
"Byron Scott","SG",75,195,10,32,67,2,"1197",548,74,80,0,0,0,0,32,16,0,"239",96,19,22,0,0,0,0,"107.8","104.2"
"Sam Mitchell","PF",78,210,4,30,75,18,"1084",306,5,152,0,0,0,0,30,15,0,"99",26,1,22,0,0,0,0,"107.8","104.2"
"Derrick McKey","SF",81,205,6,27,76,76,"2613",710,31,248,0,0,0,0,27,16,16,"587",142,24,59,0,0,0,0,"107.8","104.2"
"Haywoode Workman","PG",74,180,2,28,65,52,"1714",460,56,152,0,0,0,0,28,16,15,"511",131,21,40,0,0,0,0,"107.8","104.2"
"Rik Smits","C",88,250,5,27,78,75,"2113",923,1,281,0,0,0,0,27,16,16,"450",218,0,64,0,0,0,0,"107.8","104.2"
"Kenny Williams","SF",81,205,3,24,68,1,"982",391,4,99,0,0,0,0,24,12,0,"91",25,0,18,0,0,0,0,"107.8","104.2"
"Antonio Davis","PF",81,215,0,25,81,4,"1732",425,1,189,0,0,0,0,25,16,0,"401",89,1,47,0,0,0,0,"107.8","104.2"
"Dale Davis","PF",83,230,2,24,66,64,"2292",582,1,214,0,0,0,0,24,16,16,"578",106,1,52,0,0,0,0,"107.8","104.2"
"Ennis Whatley","PG",75,177,7,31,82,1,"1004",236,6,93,0,0,0,0,31,11,0,"113",28,0,18,0,0,0,0,"107.2","101.7"
"Duane Ferrell","SF",79,209,5,28,72,13,"1155",379,9,85,0,0,0,0,28,11,0,"187",63,4,24,0,0,0,0,"107.2","101.7"
"Jon Koncak","C",84,250,8,30,82,78,"1823",369,3,236,0,0,0,0,30,11,11,"195",66,0,32,0,0,0,0,"107.2","101.7"
"Kevin Willis","PF",84,220,8,31,80,80,"2867",1257,24,250,0,0,0,0,31,11,11,"362",129,5,37,0,0,0,0,"107.2","101.7"
"Mookie Blaylock","PG",72,180,4,26,81,81,"2915",1079,341,144,0,0,0,0,26,11,11,"415",141,64,22,0,0,0,0,"107.2","101.7"
"Doug Edwards","PF",79,220,0,23,16,0,"107",49,1,9,0,0,0,0,23,1,0,"3",0,0,0,0,0,0,0,"107.2","101.7"
"Dominique Wilkins","SF",79,200,11,34,49,49,"1687",996,198,87,0,0,0,0,"107.2","101.7"
"Paul Graham","SG",78,200,2,26,21,0,"128",57,13,11,0,0,0,0,26,1,0,"2",2,1,0,0,0,0,0,"107.2","101.7"
"John Bagley","PG",72,185,10,33,3,0,"13",2,0,2,0,0,0,0,"107.2","101.7"
"Danny Manning","PF",82,230,5,27,26,25,"925",372,3,93,0,0,0,0,27,11,11,"426",172,0,39,0,0,0,0,"107.2","101.7"
"Craig Ehlo","SG",78,180,10,32,82,0,"2147",708,221,161,0,0,0,0,32,11,0,"317",118,23,32,0,0,0,0,"107.2","101.7"
"Ricky Grace","PG",73,180,0,26,3,0,"8",3,0,3,0,0,0,0,"107.2","101.7"
"Andrew Lang","C",83,245,5,27,82,0,"1608",458,4,192,0,0,0,0,27,11,0,"234",63,1,35,0,0,0,0,"107.2","101.7"
"Adam Keefe","PF",81,230,1,23,63,1,"763",213,0,80,0,0,0,0,23,7,0,"62",10,0,9,0,0,0,0,"107.2","101.7"
"Stacey Augmon","SG",80,205,2,25,82,82,"2605",861,7,179,0,0,0,0,25,11,11,"324",89,0,26,0,0,0,0,"107.2","101.7"
"Gerald Paddio","SF",79,205,2,28,3,0,"8",5,0,3,0,0,0,0,"105.7","98.2"
"Anthony Mason","PF",79,250,4,27,73,12,"1903",433,1,190,0,0,0,0,27,25,0,"660",137,0,66,0,0,0,0,"105.7","98.2"
"Corey Gaines","SG",75,195,3,28,18,0,"78",20,5,12,0,0,0,0,28,4,0,"28",4,1,4,0,0,0,0,"105.7","98.2"
"Patrick Ewing","C",84,240,8,31,79,79,"2972",1503,14,275,0,0,0,0,31,25,25,"1032",481,11,94,0,0,0,0,"105.7","98.2"
"Eric Anderson","PF",81,220,1,23,11,0,"39",17,2,9,0,0,0,0,"105.7","98.2"
"John Starks","SG",75,180,4,28,59,54,"2057",977,337,191,0,0,0,0,28,25,18,"840",289,132,86,0,0,0,0,"105.7","98.2"
"Herb Williams","C",82,242,12,35,70,3,"774",233,1,108,0,0,0,0,35,19,0,"127",31,0,19,0,0,0,0,"105.7","98.2"
"Hubert Davis","SG",77,183,1,23,56,27,"1333",505,132,118,0,0,0,0,23,23,7,"396",121,35,43,0,0,0,0,"105.7","98.2"
"Anthony Bonner","SF",80,215,3,25,73,38,"1402",288,0,175,0,0,0,0,25,13,7,"118",22,0,22,0,0,0,0,"105.7","98.2"
"Rolando Blackman","SG",78,190,12,34,55,1,"969",369,84,100,0,0,0,0,34,6,0,"34",11,4,6,0,0,0,0,"105.7","98.2"
"Greg Anthony","PG",72,176,2,26,80,36,"1994",571,160,163,0,0,0,0,26,25,3,"436",128,61,55,0,0,0,0,"105.7","98.2"
"Derek Harper","PG",76,185,10,32,54,27,"1311",402,98,117,0,0,0,0,32,23,22,"750",231,85,63,0,0,0,0,"105.7","98.2"
"Charles Smith","SF",82,230,5,28,43,21,"1105",397,16,144,0,0,0,0,28,25,18,"612",177,3,92,0,0,0,0,"105.7","98.2"
"Doc Rivers","PG",76,185,10,32,19,19,"499",127,52,44,0,0,0,0,"105.7","98.2"
"Tony Campbell","SF",79,215,9,31,22,11,"379",128,3,59,0,0,0,0,"105.7","98.2"
"Charles Oakley","PF",80,225,8,30,82,82,"2932",760,3,293,0,0,0,0,30,25,25,"992",262,0,87,0,0,0,0,"105.7","98.2"
"Tony Harris","SG",75,190,1,26,5,0,"88",31,9,8,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"104.2","108.7"
