"Date","Name","Team","Started","B2B","MP","FGA","ThreePA","PF","USG%","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
20041102,"Bobby Jackson","Sacramento Kings",0,0,"20:00",12,4,3,29.8,105.0,114.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",107.3,117.1
20041102,"Jason Terry","Dallas Mavericks",0,0,"18:00",10,4,1,25.4,113.0,110.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",117.1,107.3
20041102,"Shawn Bradley","Dallas Mavericks",0,0,"1:00",0,0,1,0.0,0,116.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",117.1,107.3
20041102,"Darius Songaila","Sacramento Kings",0,0,"13:00",4,0,0,12.8,74.0,125.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",107.3,117.1
20041102,"Josh Howard","Dallas Mavericks",0,0,"19:00",4,0,3,17.6,103.0,108.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",117.1,107.3
20041102,"Mike Bibby","Sacramento Kings",0,0,"28:00",8,2,2,19.0,89.0,116.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",107.3,117.1
20041102,"Jerry Stackhouse","Dallas Mavericks",0,0,"22:00",11,0,3,26.7,85.0,107.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",117.1,107.3
20041102,"Chris Webber","Sacramento Kings",0,0,"35:00",17,0,2,26.4,100.0,120.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",107.3,117.1
20041102,"Erick Dampier","Dallas Mavericks",0,0,"34:00",8,0,3,15.6,114.0,105.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",117.1,107.3
20041102,"Matt Barnes","Sacramento Kings",0,0,"30:00",11,3,2,19.3,134.0,115.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",107.3,117.1
20041102,"Michael Finley","Dallas Mavericks",0,0,"36:00",12,4,2,21.4,108.0,107.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",117.1,107.3
20041102,"Alan Henderson","Dallas Mavericks",0,0,"18:00",4,0,1,12.7,149.0,105.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",117.1,107.3
20041102,"Devin Harris","Dallas Mavericks",0,0,"30:00",7,5,3,13.5,130.0,112.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",117.1,107.3
20041102,"Maurice Evans","Sacramento Kings",0,0,"21:00",4,1,2,9.9,70.0,123.0,"Dallas Mavericks","Sacramento Kings","Dallas Mavericks",107.3,117.1
